numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27555,32,Não eleito,GERALDO ABELDT,GERALDO ABELDT,M,17/01/1960,Válido,27
27456,62,Não eleito,CELSO DE SOUZA,CELSO EVANGELISTA,M,16/02/1976,Válido,27
27000,20,Não eleito,MARLUCIA DA SILVA ALMEIDA,MARLUCIA DA SILVA,F,27/06/1989,Válido,27
15369,40,Suplente,JOSEIR DE ARAÚJO COELHO,JOSEIR COELHO,M,28/07/1976,Válido,15
15112,12,Suplente,VICENTE JOSÉ DUARTE,VICENTE DUARTE,M,18/07/1960,Válido,15
15678,43,Suplente,SEBASTIÃO DE PAULO BISSOLI,TIÃO BISSOLI DO LAVADOR,M,26/08/1958,Válido,15
15123,589,Eleito,ROSERENE PAULINO DA SILVA,ROSE,F,03/05/1966,Válido,15
15444,37,Suplente,HUMBERTO BRANDT,HUMBERTO BRANDT,M,17/08/1956,Válido,15
15555,549,Suplente,FRANCISCO BRAGA,BRAGUINHA,M,22/06/1973,Válido,15
15777,49,Suplente,SILESIA DE SOUZA VIANA,SILESIA DE SOUZA,F,28/08/1977,Válido,15
15015,54,Suplente,FÁBIO GOMES MARTINS,FABINHO SERRALHEIRO,M,14/04/1980,Válido,15
15178,8,Suplente,GENILSA DA PENHA HERPS,GENILSA HERPS,F,16/06/1978,Válido,15
15432,8,Suplente,ANGELITA APARECIDA MENEZES,ANGELITA MENEZES,F,12/09/1974,Válido,15
15345,2,Suplente,CÁTIA REGINA DE SOUZA DAMASCENO,CÁTIA,F,01/11/1969,Válido,15
15111,622,Eleito,ROMILDO CAMPOREZ DA SILVA,INVESTIGADOR CAMPOREZ,M,09/11/1961,Válido,15
15000,95,Suplente,JOSÉ FERNANDO PEREIRA,PASTOR FERNANDO,M,03/04/1983,Válido,15
15600,8,Suplente,IVALNETE FERNANDES DA SILVA,IVALNETE,F,26/07/1962,Válido,15
