numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
11357,6,Suplente,ELIZANGELA SOUZA DA SILVA,ELIZANGELA SOUZA DA SILVA,F,27/08/1992,Válido,11
11999,338,Eleito,OSVALDO SGULMARO,OSVALDO SGULMARO,M,15/04/1964,Válido,11
11123,301,Suplente,CRISTIANO GRILLO,CRISTIANO GRILLO,M,11/07/1964,Válido,11
11000,288,Suplente,FRANCISCO DE ASSIS JOSÉ DOS SANTOS,ASSIS SANTOS,M,26/05/1968,Válido,11
11111,10,Suplente,AMÉLIA DUARTE BEZERRA,AMÉLIA DUARTE BEZERRA,F,08/07/1956,Válido,11
11555,8,Suplente,LUIZA APARECIDA BONIFACIO,LUIZA BONIFACIO,F,05/09/1970,Válido,11
14777,15,Suplente,MARIA LUCIA GOMES TEIXEIRA,MARIA LÚCIA,F,11/11/1968,Válido,14
14455,62,Suplente,MIGUEL ANTONIO MARTINS CLEN,MIGUEL CLEN,M,31/03/1966,Válido,14
14555,121,Suplente,LUIZ GONZAGA CIBIN,LUIZ CIBIN,M,08/10/1960,Válido,14
14444,61,Suplente,ZALUAR IGREJA ROSA DA SILVA,ZALUAR IGREJA,M,03/11/1975,Válido,14
14456,116,Suplente,MARCOS ANTONIO SOARES DOS SANTOS,NEGUINHO,M,19/11/1972,Válido,14
14300,104,Suplente,ANDRE ALMONFREY ORLANDI,ANDRÉ ORLANDI,M,03/10/1982,Válido,14
14888,8,Suplente,ANTONIETA PETRI DE ALMEIDA,ANTONIETA PETRI,F,07/07/1956,Válido,14
14222,301,Suplente,JOSIMAR PIUMBINI,JOSIMAR PIUMBINI,M,27/09/1989,Válido,14
14400,3,Suplente,JORGE PEDRO FIORIN,JORGE FIORIN,M,05/10/1961,Válido,14
14123,345,Eleito,HUGO LUIZ PICOLI MENEGHEL,HUGO LUIZ,M,03/01/1999,Válido,14
14000,168,Suplente,VALENTIM CARDOSO,VALENTIM CARDOSO,M,05/02/1962,Válido,14
14789,3,Suplente,SARAH ALVES DE OLIVEIRA,SARAH ALVES,F,29/03/1985,Válido,14
14999,46,Suplente,HELENA MARIA FIORIN FAVERO,LENA FIORIN,F,02/08/1952,Válido,14
45369,13,Suplente,DORLEI BRANDY NASCIMENTO,DORLEI,F,22/11/1968,Válido,45
45321,62,Suplente,VALDIRENE BRANDÃO ANDRADE SÓRIO,VALDIRENE BRANDÃO,F,04/01/1968,Válido,45
45100,347,Eleito,SERGIO BIANCHI,SERGIO BIANCHI,M,07/01/1962,Válido,45
45888,4,Suplente,CARLOS ALBERTO FRANÇA,FRANÇA,M,08/10/1970,Válido,45
45436,31,Suplente,PAULO RITA DE SOUZA,PAULINHO MECANICO,M,22/05/1956,Válido,45
45255,76,Suplente,RAYANE TOMAZINI BRESSANELLI,PROFESSORA RAYANE,F,05/09/1984,Válido,45
45333,45,Suplente,DIEYSON GONÇALVES DA ROSA,DYESON  DOS CAVALOS,M,28/06/1988,Válido,45
45789,138,Suplente,JUSCELINO SERAFIN,JUSCELINO SERAFIN,M,12/05/1964,Válido,45
45678,69,Suplente,ADIMAR DE SOUZA MEDINA,MINEIRO,M,30/01/1974,Válido,45
45123,68,Suplente,ORLY PEREIRA,LILI,F,04/12/1961,Válido,45
45777,35,Suplente,GUILHERME CARLOS CETTO VITOR,GUILHERME CETTO,M,19/06/1966,Válido,45
45222,32,Suplente,OSNEIA JOSE ALVES CARDOSO,OSNEIA,F,22/04/1964,Válido,45
45666,17,Suplente,PETRONIO LOUSADA,PETRONIO,M,12/10/1964,Válido,45
