numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
15610,189,Eleito,ARILTO BARROS DE OLIVEIRA,ARILTO BARROS,M,21/07/1975,Válido,15
15555,486,Eleito,SÉRGIO PAULO DE OLIVEIRA BENFICA,SERGINHO,M,26/07/1974,Válido,15
15650,113,Suplente,JOÃO MAFORTE HOTE,JOÃO MAFORTE,M,24/05/1957,Válido,15
15678,14,Suplente,ELGILMAR MARCOS DE OLIVEIRA,GILMAR PROCÓPIO,M,18/02/1976,Válido,15
15200,87,Suplente,NILSA MESSIAS BARROS,NILZA DO ZÉ PINTO,F,12/07/1965,Válido,15
15644,30,Suplente,OSEIAS NUNES DA SILVA,OSEIAS NUNES,M,04/07/1983,Válido,15
15007,35,Suplente,CLAIRMAR LUCAS VAZ,CLAIRMAR VAZ,F,26/10/1963,Válido,15
15456,53,Suplente,FERNANDA DA COSTA PACHECO E SILVA MOREIRA,FERNANDA PACHECO,F,12/11/1989,Válido,15
15222,293,Eleito,OBEDES DIAS RIBEIRO,OBEDES DIAS RIBEIRO,M,13/09/1982,Válido,15
15123,63,Suplente,WAGNER ADÃO VIEIRA CORREA,WAGUINHO DO DIVINO,M,02/08/1981,Válido,15
15000,112,Suplente,CAMILA ARRUDA FANELI,CAMILA FANELI,F,18/02/1988,Válido,15
15111,178,Eleito,RILDO ALVES RODRIGUES,RILDO RODRIGUES,M,18/11/1975,Válido,15
15124,35,Suplente,AILTO CORREA DE BARCELLOS,AILTO FERRO VELHO,M,11/02/1950,Válido,15
33000,79,Não eleito,MAXUEL FREITAS GONÇALVES,MAXUEL,M,08/01/1991,Válido,33
33123,31,Não eleito,CELINA ALVES DA CRUZ,CELINA ALVES,F,13/02/1973,Válido,33
33111,8,Não eleito,ALESSANDRA LUIZ DUARTE,ALESSANDRA,F,05/10/1979,Válido,33
33033,38,Não eleito,JOZIMAR FILGUEIRAS BELO,JOZIMAR BELO,M,09/06/1986,Válido,33
33333,11,Não eleito,GEOVANE DE OLIVEIRA TORRES TEIXEIRA,GEOVANA,F,15/01/1987,Válido,33
33444,6,Não eleito,BENICIO PACHECO DA SILVA NETO,BENICIO HUK,M,25/04/1987,Válido,33
33777,9,Não eleito,DAIANE CRISTINA DE SOUZA,DAIANE DO PASTOR NENA,F,03/10/1988,Válido,33
33222,11,Não eleito,MARCOS ALVES VIEIRA,MARQUIN,M,17/09/1981,Válido,33
45777,13,Suplente,ELEDIR PAIVA DE OLIVEIRA,ELEDIR PAIVA,F,29/10/1957,Válido,45
45123,40,Suplente,PEDRO RABELO,PEDRO CAVALO,M,15/10/1963,Válido,45
45000,8,Suplente,JOSE DE ALMEIDA E SILVA RAPOSO,ZEZÃO,M,25/02/1948,Válido,45
45600,50,Suplente,ADALTO RAMOS DE AMARAL,DALTIN,M,20/11/1961,Válido,45
45333,3,Suplente,ELIETE CRISTINA DA CONCEIÇÃO ROMÃO DIAS,ELIETE,F,05/03/1979,Válido,45
45300,14,Suplente,ANTONIO CHAVES,ANTONIO CHAVES,M,03/04/1948,Válido,45
45678,17,Suplente,JOSE BRAGA DE OLIVEIRA,ZÉ CRISTIANO,M,13/05/1944,Válido,45
45555,11,Suplente,VANDERLINO PEREIRA NEVES,CAVUL,M,06/04/1964,Válido,45
45045,155,Eleito,DANIELY BORCHARDT DE OLIVEIRA,DANI DO NANIN,F,27/05/1983,Válido,45
45630,99,Suplente,ANEVAL VIEIRA PINHEIRO,ANEVAL,M,01/12/1956,Válido,45
28555,20,Suplente,MARIA HELENA CASTRO DOS ANJOS,MARIA HELENA (MARY),F,10/11/1986,Válido,28
28142,14,Suplente,JACONIAS VIEIRA SARMENTO,JACÓ,M,01/07/1959,Válido,28
28000,238,Eleito,ASTROGILDO NETO CRISTO,BIDIM CRISTO,M,07/02/1990,Válido,28
28888,329,Eleito,ANDRÉ LUIZ DE FARIA,ANDRÉ FARIA,M,19/01/1970,Válido,28
28333,7,Suplente,ELIDA PEREIRA ALVES,ELIDA  - LEMOÍCA,F,04/08/1978,Válido,28
28777,29,Suplente,DAYANA DA SILVA JAMÁRIO,DAYANA JAMÁRIO,F,13/02/1989,Válido,28
28999,43,Suplente,JOSE CEZAR,JOSE CEZAR - DÉ,M,01/08/1956,Válido,28
28123,122,Suplente,CASSIO ANTÔNIO ARRUDA DOS REIS,CASSIO REIS,M,23/01/1989,Válido,28
19500,40,Suplente,MARTA MACENA MIRANDA DA CRUZ,MARTA MIRANDA,F,06/07/1972,Válido,19
19111,105,Suplente,KELVIM GONÇALVES AMARAL,KELVIM AMARAL,M,18/05/1992,Válido,19
19999,100,Suplente,EVANIA MARCIANO DE FREITAS,PROFESSORA EVANIA,F,20/06/1981,Válido,19
19123,74,Suplente,RENATO ANTONIO DA SILVA ANDRE,RENATO LAMPIÃO,M,07/12/1987,Válido,19
19000,169,Eleito,FRANCISCO MENEGUCCI DE SOUZA,FRANCISCO CHIQUINHO,M,11/06/1984,Válido,19
19555,114,Suplente,DARLI COELHO DE MELO,DARLI DO QUEIJO,M,02/04/1971,Válido,19
11123,62,Suplente,SINVAL ANTONIO DE FARIA NETO,SINVAL VENTANIA,M,30/12/1980,Válido,11
11789,10,Suplente,WERICA ALVES VIEIRA COSTA,ERICA DO TIÃO PEITO LARGO,F,03/04/1985,Válido,11
11222,380,Eleito,ALEXANDRO DE MELO VALIM,ALEXANDRO DA PADARIA,M,26/07/1982,Válido,11
11456,20,Suplente,LUIZ MONTEIRO NETO,TIRIRICA,M,16/11/1960,Válido,11
11111,121,Suplente,FABIANA MARIA MAFORTE AMARAL,FABIANA MAFORTE,F,16/06/1979,Válido,11
