numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27234,42,Suplente,SEBASTIÃO CARLOS DA SILVA,TIÃO DA VAN,M,18/12/1966,Válido,27
27127,1,Suplente,ANDREIA CRISTINA BUENO CORREIA,ANDREIA BUENO,F,04/09/1980,Válido,27
27887,17,Suplente,FABIO SOEIRO DA SILVA,JUNIOR SOEIRO,M,02/02/1978,Válido,27
27077,46,Suplente,JOSE MESSIAS DE JESUS SOUZA CUSINE,MESSIAS DA VILA,M,28/02/1980,Válido,27
27334,6,Suplente,LARISSA BRAGA,LARISSA BRAGA,F,29/08/1986,Válido,27
27123,690,Suplente,RENATO PEREIRA SOBRINHO,RENATO ,M,14/06/1969,Válido,27
27888,935,Eleito,JOSE GOMES DOS SANTOS,LULA,M,12/09/1981,Válido,27
27222,327,Suplente,MOACYR DA SILVEIRA PINTO,MOACIR DO IRAJA,M,13/05/1963,Válido,27
27555,10,Suplente,ELIANE RAMOS DE OLIVEIRA,LUA HIPPI,F,24/03/1985,Válido,27
27456,39,Suplente,IGOR SENA DUTRA,IGOR SENA,M,28/08/1996,Válido,27
27345,7,Suplente,JAIR NASCIMENTO,JAIR NACIMENTO,M,11/06/1965,Válido,27
27333,46,Suplente,ASSENCLEVI GERALDO TESTA,CLEVI TESTA,M,12/09/1962,Válido,27
27000,99,Suplente,PEDRO DE JESUS LACERDA,PASTOR PEDRO LACERDA,M,05/08/1960,Válido,27
27778,58,Suplente,JOSE LUIZ OQUIONI,ZEZÃO,M,30/01/1963,Válido,27
27008,7,Suplente,RUTE MACHADO PEREIRA,RUTE MACHADO,F,03/08/1966,Válido,27
27277,59,Suplente,LOURENCO PAULO DE MOURA,LOURENÇO MOURA,M,10/08/1975,Válido,27
27190,32,Suplente,VENICIUS MATTOS CORREIA DA SILVA,VINICIUS MATTOS,M,11/12/1989,Válido,27
27027,10,Suplente,GILDA DOS SANTOS NUNES,GILDA NUNES,F,20/03/1973,Válido,27
27789,28,Suplente,ILZA BORGES FURTADO,ILZA BORGES,F,12/04/1974,Válido,27
23223,548,Suplente,JORGE LUIZ BENFICA,JORGINHO BENFICA,M,20/09/1965,Válido,23
23555,35,Suplente,ZENI DE SOUZA BRAGA,ZENI BRAGA,F,25/10/1975,Válido,23
23000,205,Suplente,JOSÉ DA SILVEIRA PINTO,MAZINHO CANTOR,M,03/05/1967,Válido,23
23300,419,Suplente,JOSÉ FLORIANO FERNANDES,ZEZINHO FERRAMENTA,M,18/09/1963,Válido,23
23233,678,Eleito,JEAN CARLOS GRATZ PEDRINI,JEAN PEDRINI,M,21/02/1970,Válido,23
23023,65,Suplente,LAUDERICO ANTONIO ZUCCOLOTTO,LAUDERICO ZUCCOLOTTO,M,01/12/1966,Válido,23
23222,67,Suplente,JUCELINO FERNANDES DE JESUS,JUCELINO FERNANDES,M,04/07/1960,Válido,23
23140,20,Suplente,WANDERSON DE PAULA MEDEIROS,WANDERSON DE PAULA,M,06/01/1983,Válido,23
23456,41,Suplente,DOMINGOS BARBOSA,DOMINGÃO BARBOSA,M,25/01/1970,Válido,23
23100,78,Suplente,NATTAN DE ALMEIDA PREISIGKE,NATTAN  PREISIGKE,M,06/12/1993,Válido,23
23123,196,Suplente,JOÃO DE JESUS PEREIRA,JOÃO DE JESUS,M,06/06/1964,Válido,23
23250,19,Suplente,ELIANE MATOS SOEIRO DE SOUZA,ELIANE SOUZA,F,10/06/1974,Válido,23
23451,88,Suplente,IMARILENE OLIVEIRA DE ALMEIDA,MARILENE OLIVEIRA,F,30/07/1968,Válido,23
23999,95,Suplente,JOHNSON BARCELLOS COSTA,JOHNSON,M,23/09/1992,Válido,23
23321,19,Suplente,DULCILENE SANTOS DE JESUS,DULCE QUINTAS,F,16/11/1981,Válido,23
23111,21,Suplente,JOCIMARA BATISTA LOUREIRO,MARA LOUREIRO,F,04/07/1977,Válido,23
23334,65,Suplente,FRANCISCO DE ASSIS SIMÕES DA ROCHA,CHICO RICO,M,30/03/1962,Válido,23
23333,70,Suplente,EDIMAR POLTRONIERI,EDIMAR POLTRONIERI,M,11/06/1962,Válido,23
23007,830,Eleito,ETIENNE COUTINHO MUSSO,ETIENNE COUTINHO MUSSO,F,10/10/1965,Válido,23
11223,57,Suplente,LORRANE BOMFIM DE SANTANA,LORRANE SANTANA,F,27/05/2001,Válido,11
11611,142,Suplente,GILDAZIO FELIX SILVA,MADRUGA,M,08/12/1978,Válido,11
11123,351,Suplente,ARILDO CARLOS,PR ARILDO,M,30/10/1974,Válido,11
11111,382,Suplente,GEANDERSON DA CONCEIÇAO GODOI,DR GEANDERSON GODOI,M,01/01/1985,Válido,11
11222,430,Suplente,CARLOS DE SOUZA,CARLINHOS DO JOSIEL,M,03/06/1973,Válido,11
11456,946,Eleito,ANDRE CARLESSO,ANDREZINHO CARLESSO,M,22/04/1976,Válido,11
11500,508,Suplente,MONICA DE SOUZA PONTES CORDEIRO,MONICA CORDEIRO,F,09/03/1974,Válido,11
11000,63,Suplente,INGRID LOUREIRO DUTRA,INGRID DUTRA,F,18/08/1989,Válido,11
11190,202,Suplente,NATALIO FERREIRA COSTA,NATALIO COSTA,M,25/12/1966,Válido,11
11148,25,Suplente,ADIMAR BANHOS CARDOSO,MASSARICO,M,05/07/1948,Válido,11
25555,27,Suplente,HILDA SOUZA FAHNING NETA,NETA FAHNING,F,11/08/1991,Válido,25
25321,6,Suplente,TATIANE QUEIROZ MONTE,TATIANE QUEIROZ,F,25/01/1981,Válido,25
25633,309,Suplente,MÁRCIA CRISTINA BARBOSA FIGUEIREDO ROSSI,MARCINHA FIGUEIREDO,F,10/09/1976,Válido,25
25008,4,Suplente,ROSIANE DA COSTA CRESO CLEMENTE,ROSIANE,F,04/05/1979,Válido,25
25151,175,Suplente,VICTOR CUZZUOL BERMUDES,VICTOR BERMUDES,M,06/10/1991,Válido,25
25678,494,Suplente,JOSÉ EDILSON SPINASSÉ,EDILSON SPINASSE,M,22/11/1966,Válido,25
25000,176,Suplente,RENATO DA SILVA RIBEIRO,RENATO RIBEIRO,M,23/08/1984,Válido,25
25100,187,Suplente,SÉRGIO FARIA DE AZEVEDO,PROF. SERJÃO,M,04/05/1961,Válido,25
25025,276,Suplente,EDUARDO GONÇALVES DE SOUZA,DUDU DA MERCEARIA,M,18/01/1987,Válido,25
25777,386,Suplente,DANIEL AMORIM GOMES,DANIEL DA TOWNER,M,26/01/1967,Válido,25
25010,175,Suplente,JOSÉ CARLOS BORGES FERREIRA,ZÉ CARLOS,M,01/05/1959,Válido,25
25255,128,Suplente,FLAYNER LOUREIRO ALVES,FLAYNER,M,03/07/1975,Válido,25
25500,435,Suplente,ELIÉZER MÁRCIO LIMA MINCHIO,ELIÉZER MINCHIO,M,27/07/1972,Válido,25
25456,91,Suplente,ALAN BORONI JABBUR,DR. ALAN JABBUR,M,15/02/1976,Válido,25
25123,926,Eleito,LEANDRO RODRIGUES PEREIRA,LÉO PEREIRA,M,23/07/1986,Válido,25
12200,54,Não eleito,SEBASTIÃO BARBOSA,TIÃO BARBOSA,M,10/11/1961,Válido,12
12777,36,Não eleito,SERGIO LUIZ POZZATTI JUNIOR,PROFESSOR SÉRGIO POZZATTI,M,15/04/1990,Válido,12
12222,24,Não eleito,OSANIA CALDAS ANDRADE,OSÂNIA ANDRADE,F,31/05/1967,Válido,12
65333,552,Não eleito,FÁBIO NETTO DA SILVA,FÁBIO NETTO,M,29/10/1963,Válido,65
65321,42,Não eleito,EVAIR NUNES DE ANGELI,PROFESSOR EVAIR,M,24/07/1970,Válido,65
65171,10,Não eleito,EDUARDO VIANA CORREIA,EDUARDO COYOTE,M,09/05/1982,Válido,65
65180,352,Não eleito,RHAYRANE CARVALHO PEDRONI,RHAYRANE,F,07/10/1985,Válido,65
65999,74,Não eleito,AISLAN PINTO FABRE,AISLAN FABRE,M,26/07/1989,Válido,65
65065,29,Não eleito,MARISA ELAINE MARQUES DA SILVA,MARISA DOS IDOSOS,F,03/05/1951,Válido,65
65000,105,Não eleito,MARCELO SCHROEDER,MARCELO ONÇA,M,21/04/1973,Válido,65
