numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
15111,75,Suplente,ANTÔNIO PORTO DA COSTA,TORRELA,M,28/09/1965,Válido,15
15000,29,Suplente,ILMA DA PENHA DE SOUZA JANN,ILMA JANN,F,08/09/1950,Válido,15
15555,50,Suplente,IOLANDA DE MIRANDA,IOLANDA DO KILÃO,F,16/07/1985,Válido,15
15300,236,Eleito,WEVERTON MATTUSOCH FILGUEIRA,VEVÉ,M,27/07/1979,Válido,15
15123,192,Suplente,JOSÉ DIONIZIO DA PAZ,ZÉ DA PAZ,M,02/03/1972,Válido,15
15678,75,Suplente,JURANDIR CAVALLINI DA SILVA,DEDÉ DO PULA PULA,M,15/08/1962,Válido,15
15888,12,Suplente,JUSCENI MARTINS JARDIM,PACO,M,30/04/1968,Válido,15
15222,70,Suplente,LUCIANO ANDRÉ DA SILVA,LUCIANO CAMUNDONGO,M,10/02/1982,Válido,15
15151,20,Suplente,MARINA CLIPEL,MARINA CLIPEL,F,03/04/1950,Válido,15
11444,158,Não eleito,HONÓRIO FELÍCIO VALANE DA CRUZ,HONORIO BURRAO,M,15/04/1967,Válido,11
11234,201,Não eleito,CHARLES FARIA DOS REIS,CHARLES ELETRICISTA,M,01/02/1980,Válido,11
11123,31,Não eleito,ROSINEIDE ALMEIDA DE AGUIAR OLIVEIRA,ROSI AGUIAR,F,22/04/1979,Válido,11
11789,60,Não eleito,ELZILENE DIAS NUNES,ELZILENE (LENA),F,12/02/1962,Válido,11
11999,68,Não eleito,GILVAN SANTOS DA SILVA,GILVAN SANTOS,M,20/12/1982,Válido,11
11456,53,Não eleito,CELIO PEREIRA DA SILVA RIBEIRO,CELIO MONTADOR,M,07/09/1986,Válido,11
40999,98,Suplente,NOEMIA EVANGELISTA DE OLIVEIRA,NOEMIA DO SALÃO,F,19/04/1963,Válido,40
40456,6,Suplente,ETEVALDO DE SOUZA,ETEVALDO,M,25/09/1974,Válido,40
40100,31,Suplente,EDINÉIA SANTISSIMO FEITOZA,NÉIA FEITOSA,F,14/05/1978,Válido,40
40111,505,Eleito,MAICON GOMES DE MORAES,MAICON GOMES (MAIQUIM),M,18/02/1990,Válido,40
40789,173,Suplente,WALDIR CORRADI,DODÓ CORRADI,M,13/06/1960,Válido,40
40369,198,Suplente,VALDEMIR DOS SANTOS BRAIDA,VALDEMIR BRAIDA (ESQUERDINHA),M,01/10/1977,Válido,40
