numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27654,33,Suplente,JEREMIAS MARIANO STOFFEL,JEREMIAS STOFFEL,M,08/04/1985,Válido,27
27222,19,Suplente,NILZETE APARECIDA SOBRINHO SOUZA,NILZETE SOBRINHO,F,22/06/1982,Válido,27
27012,15,Suplente,VALDENIR TOSTAS DE OLIVEIRA,PININIL,M,24/12/1976,Válido,27
27111,33,Suplente,VALDECY RIBEIRO,PARENTE,M,13/04/1968,Válido,27
27456,17,Suplente,ROZILENE MARIA DE SOUZA CASTELAR,ROZILENE CASTELAR,F,27/02/1979,Válido,27
27789,106,Suplente,ISMAR PEREIRA DA SILVA,ISMAR,M,09/11/1968,Válido,27
27777,213,Eleito,JAIRO CUNHA,JAIRO CUNHA,M,17/07/1968,Válido,27
27100,7,Suplente,PATRICIA CLEMENTINO,PATRICIA CLEMENTINO,F,15/03/1993,Válido,27
27333,11,Suplente,WALDETE PILGER,VALDETE,F,07/09/1973,Válido,27
27112,40,Suplente,JOSÉ MARTINS DE SOUSA,ZEZINHO,M,29/10/1977,Válido,27
27027,59,Suplente,DANILO AMARO ULIANA,DANILO ULIANA,M,30/11/1993,Válido,27
27250,22,Não eleito,ROSIMERE REGINA BRUM,ROSI BRUM,F,15/11/1973,Anulado sub judice,27
27444,101,Suplente,GSIEL RODRIGUES DA SILVA,GSIEL DA MÁQUINA,M,06/09/1980,Válido,27
27122,50,Suplente,LACI PEISINO,LACI,M,24/01/1961,Válido,27
15333,151,Suplente,RIBAMAR AREAS,RIBAMAR,M,18/04/1963,Válido,15
15570,19,Suplente,DIANA APARECIDA GONÇALVES SILVA,DIANA,F,01/07/1978,Válido,15
15120,49,Suplente,CLEUSENI MARIA DE SOUZA VALADÃO,CLEUZENI,F,31/01/1983,Válido,15
15610,44,Suplente,JOSE ADEMIR DE SOUZA,ZEZA MOREIRA,M,20/12/1952,Válido,15
15999,30,Suplente,SIRLEI FERNANDES DE SALES SOUZA,SIRLEI,F,20/12/1973,Válido,15
15555,137,Suplente,JOSE MARIA DE SOUSA,ZÉ MARIA DO SINDICATO,M,28/10/1965,Válido,15
15123,154,Eleito,DELURDES DA COSTA MIRANDA,DELURDES,M,03/03/1958,Válido,15
15101,9,Suplente,SEBASTIAO FERREIRA DA SILVA,TIAO FISCAL,M,25/03/1972,Válido,15
23000,382,Eleito,ANTONIO MARCOS BONIFACIO DE SOUZA,ANTONIO DA SAÚDE,M,22/02/1974,Válido,23
23111,61,Suplente,JOSIMAR BENICIO DOS SANTOS,JOSIMAR BENICIO,M,27/03/1986,Válido,23
23444,11,Suplente,CLEIDIANE MOREIRA FAGUNDES,CLEIDIANE MOREIRA,F,18/02/1988,Válido,23
23333,303,Suplente,JOSUE JOSE CELIRIO,JOSUE,M,24/12/1978,Válido,23
23555,27,Suplente,DJALMA VIEIRA BOTELHO,DJALMA CABRAL,M,17/08/1956,Válido,23
23222,6,Suplente,LAUDICEIA VIEIRA DIAS,LAUDICEIA DO JORNAL,F,17/01/1978,Válido,23
17222,10,Não eleito,ALDEIR DE OLIVEIRA SILVA,PIPITO,M,10/03/1974,Válido,17
17123,58,Não eleito,ESEQUIAS AMANCIO DIAS,ESEQUIAS,M,04/06/1975,Válido,17
17567,40,Não eleito,ROMERO BARBOZA VIEIRA,ROMERIM MECANICO,M,05/04/1987,Válido,17
17112,13,Não eleito,ALEINA MARIA DE AMORIM CAMPOS,ALEINA,F,24/06/1979,Válido,17
17150,14,Não eleito,GISELE DOS SANTOS,GISELE DO TROPEIRO,F,19/02/1986,Válido,17
17888,69,Não eleito,DELCLECI INACIO DA SILVA,CLECINHO,M,16/09/1977,Válido,17
17120,84,Não eleito,ZENON DA SILVA GARCIA,ZENON GARCIA,M,28/05/1984,Válido,17
17777,14,Não eleito,SILVANI DIAS DE OLIVEIRA,SILVANI,F,21/09/1986,Válido,17
17251,11,Não eleito,SUELI LOPES ROSA,SUELI,F,31/03/1984,Válido,17
17000,106,Não eleito,ELIA FLORIANA APARECIDA MARTINUZZO,ELIA FLORIANO,F,27/07/1973,Válido,17
17140,42,Não eleito,IZEQUIAS LUIZ PEREIRA,IZEQUIAS ANA,M,13/08/1978,Válido,17
17111,14,Não eleito,FILIPE RAMOS MENDES,FILIPE RAMOS,M,14/04/2001,Válido,17
12312,84,Suplente,OSMAR FIDELIS DO NASCIMENTO,MAZINHO DA ACADEMIA,M,29/04/1980,Válido,12
12000,321,Eleito,LEANDRO SANTANA DA SILVA,LEANDRO SANTANA,M,07/08/1984,Válido,12
12200,57,Suplente,JOSÉ ARIMATEIA DA ROCHA,TICO CAFÉ,M,25/09/1963,Válido,12
12113,143,Eleito,ARLI JOSE DELA COSTA,ARLI DELA COSTA,M,20/05/1956,Válido,12
12222,129,Suplente,CARLOS LUIZ BENVINDO,CARLIM DO ELSON,M,03/10/1969,Válido,12
12123,103,Suplente,EVERTON VIEIRA DIAS,EVERTON DA SAÚDE,M,11/07/1973,Válido,12
12012,56,Suplente,GOTARDO DA SILVA SPADETO,SARGENTO GOTARDO,M,09/07/1974,Válido,12
12444,124,Suplente,TATIANE NASCIMENTO DA CUNHA DEMUNER,TATIANE,F,27/04/1986,Válido,12
12678,7,Suplente,MIRTA ROSA DE SOUZA CHIEPPE,MIRTA ROSA,F,13/05/1959,Válido,12
12333,31,Suplente,JOSÉ LUIZ DA SILVA,MUQUECA,M,28/07/1960,Válido,12
12345,48,Suplente,SILVANA MARIA DA SILVA,SILVANA MARÇALINO,F,28/09/1972,Válido,12
12555,17,Suplente,ENI TOSTA DE PAULA LOURENÇO,NINICA,F,24/01/1954,Válido,12
12115,64,Suplente,TARCIZO MODESTO DO NASCIMENTO,TARCIZO MODESTO,M,13/08/1951,Válido,12
11113,85,Suplente,ROBERTO JOSE SOARES,ROBERTO DA VILA,M,23/06/1982,Válido,11
11100,153,Suplente,JOSE ERALDO OLIVEIRA DIAS,JOSE ERALDO DA AGRICULTURA,M,05/05/1964,Válido,11
