numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27777,43,Não eleito,ESTELA PONTES MATOS ABREU,ESTELA ABREU,F,19/07/1973,Válido,27
27190,94,Não eleito,ANGELO PILON NETO,CABO PILON,M,15/09/1963,Válido,27
27090,62,Não eleito,MATHEUS DOS SANTOS ROSA,MATHEUS SANTOS,M,20/09/1995,Válido,27
27900,6,Não eleito,ROBERTA PEREIRA LIRIO,ROBERTA LIRIO,F,16/10/1978,Válido,27
27000,49,Não eleito,JOSÉ CONCEIÇÃO DE MORAES JUNIOR,JÚNIOR MORAES,M,04/08/1975,Válido,27
27888,73,Não eleito,MARCELO DE JESUS,BATORÉ DO TÁXI,M,27/09/1973,Válido,27
27789,20,Não eleito,ANDERSON JESUS LOIOLA,ANDERSON DA AUTOESCOLA,M,19/12/1986,Válido,27
27333,21,Não eleito,VICENTE PAULO PARIS ROSA,VICENTE DO CHURRASQUINHO,M,10/04/1954,Válido,27
15100,35,Não eleito,MANOEL LUIZ SENA REIS,MANOEL SENNA REIS,M,17/09/1960,Válido,15
15135,30,Não eleito,ANEZIO FRANCISCO FIGUEIRÓ,ANEZIO FIGUEIRO,M,25/01/1955,Válido,15
15321,52,Não eleito,ELIANE VENTURA DA SILVA,ELIANE VENTURA,F,08/05/1983,Válido,15
15555,60,Não eleito,FERNANDO TENNIS,FERNANDO TENNIS,M,26/02/1983,Válido,15
15010,194,Não eleito,JOSÉ ANTÔNIO VICTOR DE OLIVEIRA,JOSÉ ANTÔNIO BOMBEIRO,M,19/02/1971,Válido,15
15551,41,Não eleito,CLÁUDIO DE CAMPOS COSTA,CLÁUDIO DE CAMPOS COSTA,M,12/02/1984,Válido,15
15155,19,Não eleito,EDIEL GOMES PINHEIRO,EDIEL,M,29/03/1958,Válido,15
15620,131,Não eleito,ADAIR CORREA,MICHEL,M,22/05/1953,Válido,15
15333,11,Não eleito,DANIELE DA SILVA,DANIELE DA SILVA,F,19/12/1988,Válido,15
15447,34,Não eleito,LUZIA MARGARETE MACHADO,MARGARETE MACHADO,F,27/12/1963,Válido,15
15007,33,Não eleito,ROBERTO FERREIRA POVOA,ROBERTO POVOA,M,18/08/1968,Válido,15
15777,30,Não eleito,CARLOS EDUARDO BARROSO BITTENCOURT,BARROSO DO LAVADOR,M,04/03/1972,Válido,15
15140,3,Não eleito,MARCOS ANTÔNIO BERNARDO CORREA,MARCOS ANTÔNIO BERNARDO CORREA,M,06/11/1982,Válido,15
15300,15,Não eleito,JOÃO ALEXANDRE SOBRINHO,JOÃO ALEXANDRE SOBRINHO,M,24/04/1953,Válido,15
15600,61,Não eleito,BARBARA PIRES AMARAL,BARBARA PIRES,F,07/12/1993,Válido,15
15111,34,Não eleito,PAULO QUINTINO DO SENA,PAULO QUINTINO DO SENA,M,19/10/1973,Válido,15
15650,8,Não eleito,RENATA FIORIO,RENATA,F,31/01/1979,Válido,15
15500,22,Não eleito,JACQUELINE DIAS RODRIGUES,JACQUELINE,F,02/05/1974,Válido,15
15678,60,Não eleito,ADAHIR RAYMUNDO DE OLIVEIRA,ADAIL ,M,15/08/1938,Válido,15
15900,286,Não eleito,JULIO CESAR FERRARE CECOTTI,JULIO FERRARI,M,02/01/1968,Válido,15
15656,35,Não eleito,MARIA CELESTE CIPRIANO NEVES,CELESTE DO BNH,F,01/06/1951,Válido,15
15123,61,Não eleito,MELCHISEDECK DA SILVA RIBEIRO,MELCK RIBEIRO,M,08/08/1969,Válido,15
15789,366,Não eleito,ANTÔNIO HENRIQUE MARTINELLI VIDAL,MARTINELLI,M,13/06/1963,Válido,15
15430,65,Não eleito,GUILHERME DA SILVA MOURA,GUILHERME MOURA,M,23/04/1977,Válido,15
