numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27123,36,Não eleito,JOAO BATISTA DE ALMEIDA,JOAO BATISTA,M,10/10/1955,Válido,27
27789,3,Não eleito,ROSIRENE FERREIRA CRUZ SANTOS,ROSIRENE,F,14/01/1971,Válido,27
27000,35,Não eleito,EDUARDO GABURRO,EDUARDO GABURRO,M,22/02/1971,Válido,27
27777,5,Não eleito,TANEA MARIA DA SILVA,TANEA MARIA,F,06/02/1967,Válido,27
27999,78,Não eleito,LUCIANO ZANELATO,LUCIANO ZANELATO,M,17/05/1968,Válido,27
27444,55,Não eleito,JUMAR OLIVEIRA PEREIRA,JURUNA,M,03/10/1977,Válido,27
15555,102,Suplente,FELICIO VALANE DA CRUZ,FELICIO VALANE,M,25/09/1962,Válido,15
15200,30,Suplente,SHIRLEY MATIELO COLETA,SHIRLEY MATIELO,F,22/09/1983,Válido,15
15007,50,Suplente,FELIPE COLA MESQUITA,FELIPE  COLA,M,21/02/1979,Válido,15
15543,38,Suplente,DEOLINDA MARIA DA SILVA,DEOLINDA E DEOLINDA DO DAINHA,F,07/03/1959,Válido,15
15222,49,Suplente,CLEISON DO CARMO COSTA,CLEISON DO CARMO E CLEISON,M,10/07/1993,Válido,15
15000,113,Suplente,JORGE COSTA,JORGE COSTA,M,23/08/1961,Válido,15
15300,62,Suplente,WELLERSON ARAUJO MACHADO,WELLERSON,M,07/11/2001,Válido,15
15500,177,Suplente,JOSÉ AUGUSTO GARCIA,GARCIA DO POSTE,M,18/08/1960,Válido,15
15678,120,Suplente,EURICO EUGENIO TRAVAGLIA,DOUTOR EURICO TRAVAGLIA,M,24/12/1954,Válido,15
15150,229,Suplente,JOÃO JOSÉ LOPES,JOÃO LOPES,M,23/10/1955,Válido,15
15015,123,Suplente,JOSÉ EDGARD MONTANARO,JOSÉ EDGARD,M,01/08/1969,Válido,15
15333,21,Suplente,JÉSSICA MARQUES ANDREÃO,JÉSSICA ANDREÃO,F,27/01/1991,Válido,15
15123,411,Eleito,MARCIA APARECIDA PICOLI MENDONÇA PEDRUZZI,MÁRCIA PEDRUZZI,F,20/02/1973,Válido,15
25888,222,Suplente,MAGDA CRISTINA BRAVIN LOUZADA MION,MAGDA LOUZADA,F,08/11/1971,Válido,25
25678,177,Suplente,TIAGO CATABRIGA,TIAGO CATABRIGA,M,15/04/1986,Válido,25
25642,117,Suplente,CELSO LUIS PEDRUZZI,CELSO PEDRUZZI,M,12/04/1957,Válido,25
25890,12,Suplente,CARLOS ZAPE DA SILVA,LONGADA DO ELIRUY,M,30/10/1966,Válido,25
25123,239,Suplente,GERSON ANTONIO PIASSI,GERSON PIASSI,M,11/04/1957,Válido,25
25333,1,Suplente,MARIA DO CARMO FARIAS,CARMINHA PÉ NO CHÃO,F,16/07/1960,Válido,25
25625,12,Suplente,LUAN CRUZ ALVES,LUAN HERRERA,M,11/12/1992,Válido,25
25111,460,Eleito,MARIA LÚCIA VENTORIM,LÚCIA VENTORIM,F,22/07/1965,Válido,25
