numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25777,1,Suplente,MARISTEU GERALDO GALTER MORELLO,LEO MORELLO,M,09/04/1971,Válido,25
25255,11,Suplente,SIDIANI DIAS DE LYRIO,SIDIANI LYRIO,F,13/06/1989,Válido,25
25111,389,Eleito,RAFAEL BARCELLOS BULLERJHANN,RAFAEL,M,18/10/1989,Válido,25
25789,241,Eleito,LEOMAR CAZOTI MANDATO,LEOMAR MANDATO,M,16/04/1981,Válido,25
25000,19,Suplente,MARCIA ANTONIA DA ROSA SILVA,MARCIA CARIOCA,F,14/09/1976,Válido,25
25123,218,Suplente,VALTER HERPIS,VALTINHO HERPIS,M,21/03/1966,Válido,25
25456,201,Suplente,HUDSON LUIS SANTOS GUEDES,HUDSON GUEDES,M,31/07/1973,Válido,25
25800,8,Suplente,ANNA DE SOUZA ALTOE,ANA ALTOE,F,23/06/1951,Válido,25
25369,54,Suplente,FABIO BATISTA,FABIO,M,31/05/1980,Válido,25
25222,41,Suplente,VILSON ESTEVES DE SOUZA,VILSON SILIBRA,M,07/08/1973,Válido,25
23789,220,Eleito,JOSÉ CARLOS FINCO MARIANELLI,JOSÉ CARLOS MARIANELLI,M,18/02/1971,Válido,23
23678,11,Suplente,MARIA APARECIDA MENDES ALVES,MARIA MENDES,F,28/08/1971,Válido,23
23123,391,Eleito,AGUILLAR ORLETTI JUNIOR,JUNINHO ORLETTI,M,11/06/1984,Válido,23
23121,13,Suplente,GUMERCINDO VENCESLAU OTTO,GUMERCINDO OTTO,M,28/09/1953,Válido,23
23000,27,Suplente,SAMANTA VENANCIO NASCIMENTO,SAMANTA VENANCIO,F,24/06/1993,Válido,23
23345,153,Suplente,LUCIA MARA SILVA PLOTEGHER,LUCIA MARA PLOTEGHER,F,19/07/1961,Válido,23
23333,98,Suplente,HERZEM ALVES DE SOUZA,EZINHO,M,26/10/1971,Válido,23
23777,43,Suplente,FABIANA SOUSA ALMEIDA,FABIANA CUPIM,F,06/01/1981,Válido,23
23023,44,Suplente,GLEIDE DE ANDRADE EUGENIO,GLEIDE ANDRADE,F,24/06/1978,Válido,23
23456,16,Suplente,JORGE ALFEU DE ATAIDE,JORGE ATAIDE,M,29/07/1968,Válido,23
40555,25,Suplente,LUCIANO MOREIRA,LUCIANO PADEIRO,M,27/10/1979,Válido,40
40111,6,Suplente,ERINEIA CUNHA,ERINEIA CUNHA,F,13/06/1972,Válido,40
40333,12,Suplente,MÁRCIO CELIN,MARCIO CELIN,M,24/12/1968,Válido,40
40222,14,Suplente,VANDERLEIA VERISSIMO DOS REIS,VANDERLEIA,F,02/07/1981,Válido,40
