numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
55000,126,Não eleito,DELBA REGINA DE OLIVEIRA RODRIGUES,PROFESSORA DELBA,F,25/07/1962,Válido,55
55190,194,Não eleito,BENEDITO CORREA DA SILVA,CAPITÃO DHITO,M,09/09/1968,Válido,55
55047,13,Não eleito,MARIA MARLENE PEREIRA DE OLIVEIRA SURIGUE ALVES,MARLENE ALVES,F,26/10/1966,Válido,55
55222,31,Não eleito,MARIO ROBERTO SILVA RODRIGUES,PASTOR MARIO DO SALGADO,M,06/03/1964,Válido,55
55789,22,Não eleito,ROSANGELA FERREIRA DE SANTANA MATILDES,ROSANGELA DE SANTA ROSA,F,20/07/1967,Válido,55
55464,94,Não eleito,CLAUDEMIR DOS SANTOS SILVA,JURUNA,M,10/07/1973,Válido,55
55010,8,Não eleito,DEJAI PINTO FERREIRA,DEJAI DO ESPORTE,M,18/05/1979,Válido,55
55457,62,Não eleito,JOSINA VALENTINO FONSECA,JOSI DESPACHANTE,F,22/02/1958,Válido,55
55028,30,Não eleito,DAINE LOPES MOREIRA BRITO,DAINE LOPES,F,28/11/1991,Válido,55
55556,6,Não eleito,WALDIR DA SILVA VIANA FILHO,WALDIR FILHO,M,12/12/1956,Válido,55
55747,2,Não eleito,HELDENI SILVA LOPES,DENI,M,23/07/1964,Válido,55
55678,186,Não eleito,LUIZ CESAR ROSA SIMOES,LUIZ ROSA,M,08/11/1963,Anulado,55
55741,47,Não eleito,JOSE CARLOS LIMA,DR LIMA,M,25/06/1952,Válido,55
55456,10,Não eleito,SEBASTIAO DE SOUZA,TIAO DE SOUZA,M,23/05/1958,Válido,55
55123,357,Não eleito,THIAGO DE OLIVEIRA DUTRA,THIAGO OLIVEIRA,M,05/04/1980,Válido,55
55181,50,Não eleito,EMERSON GONÇALVES DA ROCHA,DELEGADO EMERSON,M,12/12/1952,Válido,55
55125,56,Não eleito,MARCOS ANTONIO DOS REIS ESTEVES,MARCOS ESTEVES,M,15/06/1965,Válido,55
55017,56,Não eleito,ITAMAR CRISTINO MARINHO,ITAMAR,M,19/05/1959,Válido,55
55646,31,Não eleito,RAIANNY SANTOS HONORATO,RAIANNY HONORATO,F,19/01/1989,Válido,55
55677,54,Não eleito,ANA MARIA DE PAULO BELONI,ANA BELONI,F,28/11/1965,Válido,55
55555,5,Não eleito,GABRIEL HENRIQUE COSTA AIRES,DR GABRIEL AIRES,M,29/08/1988,Válido,55
55024,78,Não eleito,IDEVALDO DE OLIVEIRA CORSINI,EDINHO,M,27/02/1964,Válido,55
55231,4,Não eleito,VANESSA DOS SANTOS SOUZA,VANESSA,F,23/10/1986,Válido,55
55492,20,Não eleito,ADENILDA DOS SANTOS BARRA,ADENILDA BARRA,F,12/07/1969,Válido,55
55777,59,Não eleito,EDIVALDO EVANGELISTA DOS SANTOS JUNIOR,JUNIOR SANTOS,M,28/11/1985,Válido,55
55444,14,Não eleito,JOAO MANOEL AZEREDO,JOAO MANOEL,M,21/07/1955,Anulado,55
20222,98,Não eleito,NOELSON DE SOUZA RODRIGUES,NOELSON RODRIGUES,M,26/06/1992,Válido,20
20333,27,Não eleito,MYCHEL DOS REIS NEIRA,MYCHEL REIS,M,22/07/1988,Válido,20
20010,41,Não eleito,SANDRO DE BRUIM PEREIRA,SANDRO DE BRUIM,M,05/06/1985,Válido,20
20777,13,Não eleito,MARIA PONTES DE SOUZA,MARIA PONTES GRACINHA,F,11/11/1948,Válido,20
20220,440,Não eleito,DÉBORA PEREIRA DE SOUSA NASCIMENTO,DEBORA DE SOUSA,F,01/11/1976,Válido,20
20027,84,Não eleito,DIEGO MEDEIROS ALVES,DIEGO MEDEIROS,M,09/01/1994,Válido,20
20255,67,Não eleito,CARLOS FRANCISCO NERIS,CARLOS NERIS,M,03/09/1968,Válido,20
20123,133,Não eleito,LUCAS FERNANDES COUTINHO,LUCAS COUTINHO,M,12/08/1980,Válido,20
20000,127,Não eleito,KLAUSS MIRANDA ALVES,PASTOR KLAUSS,M,16/07/1991,Válido,20
20555,118,Não eleito,IVAN BRASIL DE VASCONSELOS,IVAN BRASIL,M,06/10/1980,Válido,20
20012,29,Não eleito,LUCAS COELHO DE SOUZA MARINS,LUCAS COELHO,M,12/05/1994,Válido,20
20038,69,Não eleito,DINALVA FERNANDES DA SILVA,DINA FERNANDES,F,07/03/1980,Válido,20
20111,27,Não eleito,JOSE BRAZ ANDRADE SILVA,ZÉ BRAZ ANDRADE,M,06/03/1967,Válido,20
20020,59,Não eleito,SEBASTIÃO CLESTOFEM RIBEIRO DO NASCIMENTO,LÉO RIBEIRO,M,15/08/1987,Válido,20
20017,19,Não eleito,AIBE MARQUES DE SOUZA,CARIOCA,M,31/12/1972,Válido,20
20200,9,Não eleito,MARCIA SALUSTIANA DO CARMO,MARCIA CARMO,F,11/11/1977,Válido,20
20001,233,Não eleito,SÁVIO DA SILVA,PASTOR SÁVIO SILVA,M,02/02/1986,Válido,20
20444,17,Não eleito,ANGELICA PEREIRA DA COSTA,ANGELICA COSTA,M,19/08/1976,Válido,20
20791,6,Não eleito,VANIA MORESCHI LAEBER,PROFESSORA VANIA MORESCHI,F,25/05/1983,Válido,20
23700,80,Suplente,ALINE LAIBER SANTOS DE OLIVEIRA PASSOS,ALINE LAYBER,F,11/08/1981,Válido,23
23423,7,Suplente,MARIA APARECIDA DIAS RIBEIRO,MARIA APARECIDA,F,05/10/1976,Válido,23
23200,397,Suplente,ALEX SANDRO BAPTISTA SIMÕES,SANDRO DO OLARIA,M,23/01/1972,Válido,23
23331,593,Suplente,PAULO SIMÕES CIRINO,PAULO CIRINO,M,30/05/1965,Válido,23
23500,28,Suplente,LOANA ARAUJO GALVÃO,LOANA GALVÃO,F,12/02/1993,Válido,23
23443,19,Suplente,JOSEFA ANDRADE CAÇADOR,JOSÉFA CAÇADOR,F,22/04/1959,Válido,23
23999,50,Suplente,JOÃO DIAS DA SILVA,JOÃO DIAS,M,15/10/1956,Válido,23
23234,169,Suplente,JOSÉ CARLOS ANTÔNIO DOS SANTOS,KÁKÁ,M,31/01/1984,Válido,23
23716,35,Suplente,SAMUEL DA ROCHA FERREIRA,SAMUEL ROCHA,M,07/01/1985,Válido,23
23111,29,Suplente,JOSÉ MAURO GOMES CORREIA,IRMÃO JOSÉ,M,02/10/1974,Válido,23
23222,253,Suplente,ROSANGELA GOMES DE ABREU,ROSÂNGELA ABREU,F,23/02/1979,Válido,23
23555,582,Suplente,RODRIGO GUISSO SANTANA,RODRIGO SANTANA,M,09/10/1981,Válido,23
23444,697,Suplente,MALAQUIAS NUNES VIEIRA DE OLIVEIRA,KIKO MALAQUIAS,M,21/09/1979,Válido,23
23321,166,Suplente,ROBERTO STOCKLER SIMÕES,ROBERTO STOCKLER,M,03/04/1979,Válido,23
23579,2,Suplente,ERICA FERNANDA RAMOS,ÉRICA RAMOS,F,23/06/1974,Válido,23
23777,34,Suplente,FAUSE MATTAR,FAUSE MATTAR,M,10/03/1967,Válido,23
23420,64,Suplente,DOUGLAS ASSIS,DOUGLAS ASSIS,M,31/07/1984,Válido,23
23888,24,Suplente,GILMAR ALVES DA SILVA,GILMAR ALVES,M,27/08/1973,Válido,23
23001,156,Suplente,SÉRGIO PINTO DE JESUS,SÉRGIO COQUINHO,M,24/07/1959,Válido,23
23023,355,Suplente,LUCAS FRANCISCO NETO,DOUTOR LUCAS,M,28/11/1989,Válido,23
23123,1247,Eleito,ROSANA SILVA DE SOUZA,ROSANA PINHEIRO,F,11/01/1973,Válido,23
23000,813,Eleito,CARLOS EDUARDO DOS SANTOS NASCIMENTO,DUDU CORRETOR,M,11/02/1968,Válido,23
23333,236,Suplente,BRUNO LYRA NEVES,BRUNO LYRA,M,05/04/1983,Válido,23
23552,8,Suplente,MARIA DE FÁTIMA COSTA GOMES,FÁTIMA DO KUBITSCHEK,F,12/10/1968,Válido,23
23456,522,Suplente,AFONSO RODRIGUES PEREIRA FILHO,AFONSO RODRIGUES,M,12/09/1964,Válido,23
70234,304,Suplente,CÍCERO DOMINGOS DA SILVA,DOMINGUINHOS,M,31/07/1967,Válido,70
70789,12,Suplente,ELIZABETE CRISTINA DE AZEVEDO,BETINHA AZEVEDO,F,22/01/1963,Válido,70
70220,12,Suplente,VANESSA SILVA SOUZA,VAN SOUZA,F,29/03/1987,Válido,70
70038,164,Suplente,ANASTACIO DANTAS,DANTAS EBENÉZER,M,09/11/1961,Válido,70
70703,128,Suplente,FABIO RAMOS DE MOURA,FABIO RAMOS,M,16/11/1983,Válido,70
70337,167,Suplente,FABIANO DOS SANTOS,FABIANO DA TV SUDESTE,M,25/08/1969,Válido,70
70456,247,Suplente,RAQUEL FREITAS DE CARVALHO,RAQUEL,F,26/11/1966,Válido,70
70880,24,Suplente,PATRICIA CALATRONE XAVIER,PATRICIA CALATRONE,F,17/02/1973,Válido,70
70007,88,Suplente,MARIO LUIZ FERNANDES DO NASCIMENTO,IRMÃO MARIO LUIZ,M,06/12/1969,Válido,70
70600,29,Suplente,REGIANE ALFENAS DEZAN,REGIANE ALFENAS,F,29/12/1978,Válido,70
70777,31,Suplente,JOSIAS PINTO DA SILVA,JOCA,M,28/05/1964,Válido,70
70111,522,Suplente,JOAQUIM EDUARDO MOREIRA,DUDU DO SANGUE,M,28/04/1966,Válido,70
70100,327,Suplente,SELMA FERNANDES DE SOUZA,PASTORA SELMA PIMENTA,F,12/11/1975,Válido,70
70500,30,Suplente,DERLEIDE DA PENHA GOMES LEAL PAULA,DERLEIDE,F,26/04/1976,Válido,70
70027,76,Suplente,WILCLER CARVALHO LOPES,WILCLER CARVALHO,M,21/06/1976,Válido,70
70700,155,Suplente,FABIO HENRIQUES SIQUEIRA,FABIO HENRIQUES,M,19/06/1975,Válido,70
70321,53,Suplente,LUCIANO SOAVE DE OLIVEIRA,LUCIANO SOAVE,M,27/04/1987,Válido,70
70222,98,Suplente,WAGNER GOLTARA DE JESUS,WAGNER GOLTARA,M,01/01/1983,Válido,70
70000,191,Suplente,AGUINALDO JUNIOR ARAUJO VIEIRA,JUNIOR AUTO ESCOLA,M,08/04/1970,Válido,70
70888,98,Suplente,JOAO VITOR FOLLADOR DE MORAES JARDIM,JOÃO VITOR FMJ,M,19/01/1990,Válido,70
70333,18,Suplente,FELIPPE ROSA PIONTKOVSKY,CABO FELIPPE,M,14/07/1986,Válido,70
