numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25555,158,Suplente,ROBERTO CARLOS PIROVANI MOREIRA,ROBERTO NAZARIO,M,17/07/1969,Válido,25
25800,6,Suplente,CELYMARY LOPES DE MORAES ZINI,MELZINHA DA SAÚDE,F,26/10/1983,Válido,25
25000,296,Eleito,JOSE ROGERIO DE ALMEIDA,ROGERIO ALMEIDA,M,31/05/1981,Válido,25
25123,83,Suplente,ALEX DE OLIVEIRA SILVA RAMOS,ALEX OLIVEIRA,M,29/06/1988,Válido,25
25333,105,Suplente,ADILSON BARBOSA ANTUNES,ADILSON BARBOSA,M,06/07/1976,Válido,25
25444,45,Suplente,GEOVANE OGIONE TIMOTEO,GEOVANE TIMOTEO,M,19/06/1987,Válido,25
25111,193,Eleito,CARINI MARIA GONÇALVES OGIONI,CARINI OGIONI,F,01/02/1980,Válido,25
25678,191,Suplente,MARCELO PIROVANI MATAVELI,MARCELO PIROVANI MATAVELI,M,15/02/1972,Válido,25
25222,266,Eleito,MYCHELLE VARGAS VIEIRA,MYCHELLE VARGAS,F,11/03/1981,Válido,25
43200,7,Suplente,JOCIMARA VICENTE CAETANO BALDUINO,JOCIMARA CAETANO,F,17/09/1990,Válido,43
43143,115,Eleito,LUCIANO DIAS DA SILVA NETO,LUCIANO DIAS,M,02/12/1980,Válido,43
43555,4,Suplente,VALKIRIA CASA GRANDE SIMONASSI,VALKIRIA SIMONASSI,F,11/12/1996,Válido,43
43123,25,Suplente,SEBASTIÃO NILO DA SILVA,NILÃO,M,08/05/1967,Válido,43
43000,15,Suplente,JOSE HUMBERTO VIMERCATI,HUMBERTO VIMERCATI,M,13/12/1994,Válido,43
43028,88,Suplente,DEUSEDINO RODRIGUES MOREIRA,DEUSEDINO,M,07/03/1950,Válido,43
43400,4,Suplente,RANIELE SOARES DA SILVA,RANIELE,F,01/09/1999,Válido,43
43999,30,Suplente,EDSON ARAUJO DA SILVA,EDI NEGÃO,M,23/11/1976,Válido,43
43343,6,Suplente,JOSELHA FERNANDES CLER CEDRAZ DE MIRANDA,JOSELHA CLER,F,14/08/1975,Válido,43
43043,11,Suplente,JOSIVALDO GUIMARÃES DOS SANTOS,JOSIVALDO,M,26/07/1987,Válido,43
43777,19,Suplente,WEDERSON DE OLIVEIRA SILVA,EDINHO MOTO,M,31/07/1977,Válido,43
43333,111,Suplente,JOSE ANTONIO MACHADO,JOSE ANTONIO DO JÓ,M,10/08/1960,Válido,43
43433,42,Suplente,LEANDRO PEREIRA SAPAVINI,LEANDRO SAPAVINI,M,28/11/1990,Válido,43
45555,14,Suplente,SEBASTIÃO DE FREITAS RODRIGUES,SEBASTIÃO RODRIGUES,M,21/04/1980,Válido,45
45123,207,Suplente,JOSE TAVARES DE MOURA,ZÉ TAVARES,M,01/02/1962,Válido,45
45999,11,Suplente,ADILSON LASARO DA COSTA,ADILSON LASARO DA COSTA,M,14/11/1969,Válido,45
45666,260,Eleito,AILTON DA COSTA SILVA,AILTON VEIN,M,27/09/1956,Válido,45
45137,12,Suplente,PRISCILA HILARIO DA COSTA GONÇALVES,PRISCILA HILARIO,F,19/10/1989,Válido,45
45333,8,Suplente,ANTONIA LUCIA ABREU DE SOUZA,LUCIA DO KINKA,F,04/06/1960,Válido,45
45000,242,Suplente,VALTELY ROCHA PEIXOTO,VALTELY PEIXOTO,M,06/03/1961,Válido,45
45222,8,Suplente,VALDECI RIBEIRO DA SILVA,VALDECI RIBEIRO,M,11/06/1990,Válido,45
45100,4,Suplente,ISABELLA DOS REIS FREITAS FERREIRA,ISABELLA REIS,F,01/09/1994,Válido,45
45600,29,Suplente,SESENANDES SOARES DE MOURA,NANDES MOURA,M,03/07/1944,Válido,45
55678,17,Suplente,MARIA DAS GRAÇAS OGGIONE VIEIRA,GRACINHA OGIONE,F,22/10/1955,Válido,55
55333,29,Suplente,ROBERTO JUNIOR PEIXOTO RIZZI,JUNIOR RIZZI,M,22/06/1998,Válido,55
55999,11,Suplente,ROSIANE DA SILVA RODRIGUES,ROSIANE CORDEIRO,F,30/07/1983,Válido,55
55444,35,Suplente,EDER ILSON FERNANDES,DEILSON FERNANDES,M,09/02/1965,Válido,55
55888,15,Suplente,MARIA HELENA SOARES,LENA DO PELÉ,F,30/01/1972,Válido,55
55123,355,Eleito,JOSIMAR DA SILVA RIBEIRO,JOSIMAR FUZIL,M,12/08/1956,Válido,55
55777,77,Suplente,GILMAR MARTINS DE MOURA,GILMAR DA OFICINA,M,06/02/1976,Válido,55
55222,50,Suplente,DIEGO MARTINS COELHO,DIEGO COELHO,M,22/02/1992,Válido,55
55789,21,Suplente,JOUBERT PEREIRA DA SILVA,BETO VERANO,M,25/10/1952,Válido,55
55000,87,Suplente,GABRIEL ANDRADE MORALES,GABRIEL MORALES,M,22/07/1997,Válido,55
55456,22,Suplente,DINALVA NUNES REIS MOREIRA,DINALVA NUNES,F,26/05/1980,Válido,55
55555,390,Eleito,JOSÉ PAULA MACHADO FILHO,ZÉ PAULO,M,12/05/1988,Válido,55
55345,6,Suplente,MARIA NEIDA DE OLIVEIRA,NEIDA,F,24/05/1959,Válido,55
55111,33,Suplente,ORIEBIR VIEIRA ELIAS RIBEIRO,ORIEBER VIEIRA,M,11/01/1978,Válido,55
10456,52,Suplente,ROMILDO LEITE MOREIRA,ROMILDO DO OLIVIO,M,16/05/1981,Válido,10
10999,17,Suplente,ROSILENE MARIA MENDES,ROSILENE MENDES,F,14/04/1972,Válido,10
10000,260,Eleito,JUACI LADEIRA ALVES,DIM DO CICI MADALENA,M,09/03/1975,Válido,10
10123,127,Suplente,CREUSILEIA ROSA GUEDES GOMES,LÉIA DA SAÚDE,F,14/11/1968,Válido,10
10555,33,Suplente,ITAMAR CASSIANO DE OLIVEIRA,ITAMAR DO MONEGO,M,09/02/1978,Válido,10
10111,261,Eleito,SERGIO SILVA,SERGIM SILVA,M,09/08/1964,Válido,10
10398,28,Suplente,MARCIA PEROVANI DA COSTA SANTOS,MARCIA PEROVANI,F,11/03/1974,Válido,10
10222,66,Suplente,JAIR CORDEIRO DA SILVA NETTO,JAIR CORDEIRO,M,19/12/1991,Válido,10
10777,59,Suplente,PEDRO FERNANDES FILHO,PEDRO NAZARIO,M,27/09/1977,Válido,10
10234,173,Suplente,ANTONIO VILETE BARRADAS,TONINHO BARRADAS,M,25/02/1960,Válido,10
19123,287,Não eleito,ADRIANA MORAIS DA COSTA,ADRIANA ELEOTÉRIO,F,01/09/1982,Válido,19
