numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
15200,6,Suplente,NEILA REGINA GOMES DE OLIVEIRA,DRA NEILA OLIVEIRA,F,17/11/1981,Válido,15
15456,80,Suplente,DELIZETE PAULISTA MONTEIRO,ZETE PAULISTA,M,20/10/1962,Válido,15
15223,300,Eleito,ALVARO JOSÉ FALCÃO,ALVARO FALCÃO,M,27/10/1957,Válido,15
15115,56,Suplente,JOSÉ HENRIQUE CHRISTOFARI JUNIOR,JUNINHO DO AÇOUGUE,M,27/05/1980,Válido,15
15123,180,Suplente,LUIZ ROBERTO TEIXEIRA JUNIOR,JUNINHO DA CATARINA,M,20/03/1978,Válido,15
15333,10,Suplente,ADRIANA BARCELLOS RIVAROLA,ADRIANA RIVAROLA,F,18/02/1966,Válido,15
15444,180,Suplente,CLAUDIR ROSA,DILA ROSA,M,17/08/1966,Válido,15
15145,40,Suplente,MEREDIANE BALDOTTO ANTHERO MAGEVSKI,MERIDIANE BALDOTTO,F,14/05/1983,Válido,15
15000,71,Suplente,EVANILDO PETTER,EVANILDO PETTER VETERINARIO,M,26/05/1987,Válido,15
15015,27,Suplente,BERTHOLDO NEUMEG ULIG,BERTHOLDO ULIG,M,10/06/1954,Válido,15
15167,82,Suplente,GABRIEL DE SOUZA LIMA,GABRIEL LIMA,M,28/04/1997,Válido,15
15555,28,Suplente,MARIA THEREZA VENTURINI,THEREZA DO BILIU,F,15/09/1960,Válido,15
15666,10,Suplente,EDGAR CRISTO,EDGAR CRISTO,M,26/06/1976,Válido,15
15222,12,Suplente,VAONEIA STORK,VANINHA STORK,F,05/04/1961,Válido,15
40654,5,Suplente,ROSENETTE MANSK FERNANDES,NETTE MANSK,F,16/10/1961,Válido,40
40999,89,Suplente,SILAS NEUMEG SPERANDIO,SILAS SPERANDIO,M,04/10/1984,Válido,40
40012,61,Suplente,MARIA AUGUSTA MONTEBELLER,MARIA AUGUSTA,F,25/06/1954,Válido,40
40899,41,Suplente,GELISMAR BATISTA DOS SANTOS,MAZINHO DO NENO,M,25/06/1975,Válido,40
40222,33,Suplente,MARILETE FERREIRA DE SOUSA KLUG,LETI DO ALTO LAGE,F,22/06/1973,Válido,40
40555,13,Suplente,ALANIR NASS,ALANIR NASS,M,12/12/1944,Válido,40
40015,39,Suplente,ALOISIO RENATO BECALI,DEDÉ BECALI,M,28/05/1960,Válido,40
40018,41,Suplente,JOVENIL DA SILVA,JOVENIL SILVA,M,06/03/1973,Válido,40
40234,27,Suplente,UGNEI ZAGER,UGNEI ZAGER,M,05/03/1982,Válido,40
40123,204,Eleito,GELSON LUIS GOBBO,GELSON GOBBO,M,17/06/1966,Válido,40
40456,40,Suplente,JEREMIAS PIONTKOWSKY,JEREMIAS PIONT,M,27/08/1975,Válido,40
40013,32,Suplente,VANDERLUCIA EGERT DE AZEVEDO,VANDERLÚCIA EGERT,F,13/12/1977,Válido,40
40231,10,Suplente,ANDREA PIEPPER,ANDREA PIEPPER PITI,F,20/07/1989,Válido,40
14111,17,Suplente,THUANY KLITZKE CASSIMIRO,THUANY FILHA DO EDINHO POSTO,F,11/03/1993,Válido,14
14567,0,Suplente,MARCOS ALEXANDRE ANGELI,MARQUINHO DO HOTDOG,M,19/08/1990,Válido,14
14555,149,Suplente,FERNANDO RICIERI GASPERAZZO,PROFESSOR FERNANDO,M,03/06/1989,Válido,14
14123,79,Suplente,ADEMIR DOS SANTOS,LÊ,M,21/09/1976,Válido,14
14100,22,Suplente,SANDRA HELENA CAMILO,SANDRA CAMILO,F,18/06/1974,Válido,14
14234,52,Suplente,BEOCHOR JOSE LOSS FRANZIN,BEL,M,04/09/1976,Válido,14
14777,28,Suplente,BETCIANE PEREIRA,BETCIANE PEREIRA,F,03/02/1987,Válido,14
14014,38,Suplente,VANDERSON ANGELO ZAGER,VANDINHO ZAGER,M,14/10/1988,Válido,14
14333,73,Suplente,FERNANDO AZEVEDO BECALLI,BOLA,M,06/11/1982,Válido,14
14015,11,Suplente,JOSE DECA,ZÉ DECO,M,16/03/1959,Válido,14
14666,6,Suplente,MARCELIA SOARES DE SOUSA,MARCELIA TÉIA,F,06/04/1983,Válido,14
14444,125,Suplente,BRUNO BECALLI,BRUNO BECALLI,M,04/03/1987,Válido,14
14000,622,Eleito,ORLANDO ALVES DOS SANTOS NETTO,NANDO,M,13/07/1984,Válido,14
14140,31,Suplente,DENELZIRA BUSS,DENELZIRA BUSS,F,03/05/1972,Válido,14
45222,257,Suplente,ÁTILA LAMBERTI GUMES,ÁTILA,M,27/03/1990,Válido,45
45999,282,Eleito,CAMILO ADOLFO BUCHER,CAMILO ADOLFO,M,11/08/1983,Válido,45
45123,126,Suplente,DJALMA GOMES DE CARVALHO,MINEIRO,M,20/10/1965,Válido,45
45777,45,Suplente,FLÁVIA FERREIRA PAGUNG,FLÁVIA PAGUNG ''TIA FLÁVIA'',F,02/07/1983,Válido,45
45045,41,Suplente,ROSANGELA SARNÁGLIA TETEMANN,ROSANGELA SARNÁGLIA,F,18/02/1963,Válido,45
45333,147,Suplente,GELSON PEREIRA,GELSON PEREIRA,M,27/11/1958,Válido,45
45111,32,Suplente,JONAIR APELFELER,JONAIR APELFELER,M,08/06/1985,Válido,45
45789,399,Eleito,ODÉLIO APARECIDO PAULISTA,ODÉLIO COCÓ,M,10/04/1973,Válido,45
45444,12,Suplente,LEONEDE RICARDO PEREIRA,NEIDE,F,27/03/1985,Válido,45
45888,107,Suplente,NORBERTO KNAAK,KNAAK,M,23/05/1957,Válido,45
45555,23,Suplente,LUZELINA BISPO DE OLIVEIRA CASAGRANDE,LUZELINA,F,03/02/1967,Válido,45
45000,274,Suplente,SONIA ZANETTI BAZILIO DE SOUZA,SONIA BAZILIO,F,26/09/1962,Válido,45
20233,15,Não eleito,JOSE MAURO MAGEVESKE,JOSÉ MAURO MAGEVESKE,M,08/06/1963,Válido,20
20038,26,Não eleito,ARNALDO JOSÉ CANDIDO,ARNALDO JOSÉ CANDIDO,M,26/08/1968,Válido,20
20234,32,Não eleito,ANTONIO CARLOS PEREIRA DOS SANTOS,ANTONIO CARLOS,M,07/09/1980,Válido,20
20111,7,Não eleito,JOANA AUGUSTA GOMES,JOANA GOMES,F,03/07/1988,Válido,20
20444,42,Não eleito,ISLANY RAMOS COUTINHO,ISLANY RAMOS COUTINHO,F,13/08/1991,Válido,20
20223,34,Não eleito,JOSE MARIA CAMPOS,JOSE MARIA,M,17/08/1961,Válido,20
20888,9,Não eleito,MANOEL MARQUES FERREIRA,MANUEL FERREIRA,M,12/10/1983,Válido,20
20567,2,Não eleito,MAX LEANDRO SANTANA DE SIQUEIRA VELTEN,MAX LEANDRO,M,17/08/1981,Válido,20
