numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
13488,3,Não eleito,MARLEI BERNADO MOREIRA,MARLEI,F,26/04/1971,Válido,13
13577,31,Não eleito,JOELMA MARTINS,JOELMA,F,05/04/1977,Válido,13
13456,2,Não eleito,MARCOS ROBERTO LOPES,MARCOS,M,02/04/1980,Válido,13
13600,69,Não eleito,MARIA ANGELA TRASPADINI,ANGELA,F,20/02/1951,Válido,13
13155,87,Não eleito,ROSILDA OLIVEIRA PESSOA,ROSILDA,F,01/11/1964,Válido,13
13007,61,Não eleito,FRANCISCO EMMANUEL SOARES DOS SANTOS,CHICO DO PT,M,31/07/1957,Válido,13
13333,14,Não eleito,VANUZA RODRIGUES DA SILVA,VANUZA,F,21/10/1975,Anulado,13
13133,25,Não eleito,CARLOS ALBERTO CARLETI JOVITA,CARLINHOS,M,23/08/1961,Válido,13
13777,32,Não eleito,LUCINEIA ROCHA DOS SANTOS,NEIA ROCHA,F,02/12/1982,Válido,13
13123,43,Não eleito,WALLACE BRAZ ROSA,WALLACE,M,02/11/1983,Válido,13
19888,74,Suplente,DEODORO PALOMBO PINTO,METRALHA,M,15/11/1960,Válido,19
19234,222,Suplente,ANTONIO VALTER GALLON,TONINHO GALLON,M,11/12/1957,Válido,19
19333,1529,Eleito,VALDIR RODRIGUES MACIEL,VALDIR MACIEL,M,28/02/1954,Válido,19
19619,23,Suplente,EDIVALDA SANTANA SILVA,EDIVALDA SANTANA,F,04/03/1976,Válido,19
19519,54,Suplente,ANTONIO MARCOS DUARTE DE JESUS,PARENTINHO,M,13/06/1974,Válido,19
19345,137,Suplente,JOSE FRANCISCO CARVALHO,ZE CASTANHEIRA,M,18/06/1970,Válido,19
19219,63,Suplente,ROSANIA ALVES MUNIZ,ROSANIA MUNIZ,F,31/10/1969,Válido,19
19258,2,Suplente,SILVANA SCHIFFLER,SILVANA SCHIFER,F,09/11/1984,Válido,19
19999,255,Suplente,JOSE CARLOS DE OLIVEIRA,ZE CARLOS PC,M,07/10/1963,Válido,19
19719,0,Suplente,MARINALVA VIEIRA BRITO,MARINALVA,F,06/07/1977,Válido,19
19123,177,Suplente,EDIVALDO BARBOSA FONSECA JUNIOR,JUNINHO,M,19/05/1993,Válido,19
19019,20,Suplente,JOUBER SANTIAGO OLIVEIRA,JOUBINHO,M,29/11/1966,Válido,19
19555,225,Suplente,ROGERIO SILVA DE SOUZA,ROGERIO SILVA,M,21/07/1984,Válido,19
19190,981,Suplente,JOHNATAN DEPOLLO,JOHNATAN MARAVILHA,M,06/08/1982,Válido,19
19277,0,Suplente,GILBERTO PEREIRA,GIL,M,06/09/1970,Válido,19
19819,95,Suplente,LUCIENE APARECIDA DE MATTOS,LUCIENE MATTOS,F,31/03/1978,Válido,19
19444,57,Suplente,MARINEUSA VIEIRA SERAFIM PERIN,MARI CLASS,F,21/03/1970,Válido,19
19147,62,Suplente,JUCIMARA DADALTO,JUCIMARA DADALTO,F,28/01/1968,Válido,19
