numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
11100,137,Não eleito,ERENILDA KUSTER ZAMBOM,NILDA DO SERRANO,F,30/04/1977,Válido,11
11123,127,Não eleito,JOSENIRA MARIA VASCONCELOS,JOSY DO SALÃO,F,15/07/1967,Válido,11
11456,102,Não eleito,MARCIO DA COSTA COSME,MARCINHO COSTA,M,20/10/1989,Válido,11
11777,29,Não eleito,AMON GENÚNCIO DA VITÓRIA VASSEM,AMOM JACK,M,04/07/1986,Válido,11
11234,97,Não eleito,ROGÉRIO FRIEDRICH,ROGERINHO DA SERRARIA,M,17/08/1986,Válido,11
11311,11,Não eleito,ADRIANA BESSI,ADRIANA DO SALÃO,F,15/03/1983,Válido,11
11345,53,Não eleito,PAULO RAMON CABRAL,RAMON DO BAR,M,11/02/1983,Válido,11
11415,49,Não eleito,JAIR CARVALHO DE LUCENA,JAIR DO TRICICLO,M,27/03/1970,Válido,11
11111,24,Não eleito,CARLOS HENRIQUE DO NASCIMENTO,CARLOS HENRIQUE,M,13/09/1969,Válido,11
11122,24,Não eleito,EUCLIDES ANTÔNIO GRANZIERI,EUCLIDES GRANZIERI,M,26/08/1970,Válido,11
11022,46,Não eleito,ROBERTO CARLOS RODRIGUES,BETO RODRIGUES,M,22/03/1974,Válido,11
11333,9,Não eleito,ELY ESPINDULA,ELY ESPINDULA,F,07/07/1958,Válido,11
11120,32,Não eleito,LEOMAR WILL,LEOMAR WILL,M,22/10/1961,Válido,11
28000,295,Eleito,NATALINO BIANQUI NETTO,NATALINO DA MANOS,M,27/11/1977,Válido,28
28555,67,Suplente,TIAGO MARQUES ASSUNCAO,TIAGO BAIANO,M,22/09/1987,Válido,28
28111,13,Suplente,CARMELINDA MARIA TEIXEIRA LITTIG,CARMELINDA LITTIG,F,10/01/1978,Válido,28
28028,127,Suplente,ABEL LUIZ BUNGENSTAB,ABEL BUNGENSTAB,M,04/04/1969,Válido,28
28999,38,Suplente,HERON CARLOS ALVES MOREIRA,PROFESSOR HERON,M,18/10/1976,Válido,28
28777,31,Suplente,ALCIONE AMORIM PAGOTTO,ALCIONE SITIO CACHOEIRINHA,F,22/07/1953,Válido,28
28888,101,Suplente,AUDIO LITTIG,AUDIO LITTIG,M,06/03/1981,Válido,28
28389,4,Suplente,ANA CLAÚDIA PASSOS KROHLING,ANA CLAÚDIA KROHLING,F,26/03/1989,Válido,28
28038,42,Suplente,JOSIMAR SCHNEIDER DE SOUZA,JOSIMAR BOLSONARO,M,30/09/1966,Válido,28
28466,3,Suplente,REGINA APOLONIA LANGUER DAVOLI,REGINA,F,06/01/1962,Válido,28
28123,33,Suplente,VALDIVINO ALVES PEREIRA,VALDIVINO CORRETOR,M,06/04/1974,Válido,28
28333,19,Suplente,MARILVA DUARTE SALINO,MARY SALINO,F,28/03/1975,Válido,28
14567,181,Suplente,ADENILTON AMORIM NEPOMUCENO,ADEMILTON,M,16/04/1967,Válido,14
14477,56,Suplente,GILDASIO ARAUJO DA SILVA,ZÉ DO GÁS,M,23/11/1975,Válido,14
14456,8,Suplente,JOSÉ SOARES MOREIRA,BAIANO,M,21/02/1963,Válido,14
14000,264,Suplente,PRISCILA KIEFER RICAS,PRISCILA KIEFER,F,27/11/1983,Válido,14
14333,95,Suplente,FELIPE DOMINGOS WERNERSBACH,FELIPE DO TAXI,M,03/05/1976,Válido,14
14500,27,Suplente,ANDERSON VILÁSTICO FERREIRA,PROF ANDERSON,M,13/10/1972,Válido,14
14123,431,Eleito,ABRÃO LEVI KIFFER,COQUINHO,M,17/06/1968,Válido,14
14200,58,Suplente,FABIANA ROCHA ROSA,FABIANA DA SAÚDE,F,29/06/1976,Válido,14
14666,16,Suplente,LENY DA PENHA LEMKE,LENI PENHA,F,01/02/1966,Válido,14
14600,40,Suplente,SANDRA HELENA KLEIN BERTOLLO,TIA  SANDRA,F,18/09/1959,Válido,14
14444,5,Suplente,MARIA ROSIANE RODRIGUES DA SILVA,ROSI DO MIQUEIAS,F,31/05/1982,Válido,14
14111,91,Suplente,ADRIANO DOMINGOS CIURLLETI,PASTOR ADRIANO,M,10/05/1982,Válido,14
14789,130,Suplente,TARCÍSIO BARCELLOS,TUI,M,01/08/1964,Válido,14
45369,72,Suplente,LUIZ ANTONIO PINHEIRO,LUIZ DA LAJOTA,M,10/11/1969,Válido,45
45777,37,Suplente,MÁRCIO ROBERTO PEREIRA DE BARCELOS,CABO BARCELOS,M,04/07/1972,Válido,45
45111,39,Suplente,CLAUDIA APARECIDA TOMAZ,CLAUDINHA TOMAZ,F,02/09/1977,Válido,45
45789,41,Suplente,LUCILENE CORDEIRO DOS SANTOS,LÚCIA  CORDEIRO,F,17/11/1973,Válido,45
45300,532,Eleito,RENATO LUIZ VELOSO WERNECK,RENATO DA AMBULÂNCIA,M,08/06/1972,Válido,45
45888,11,Suplente,EDNEIA MARIA CARDEIRO,EDNEIA CARDEIRO,F,20/01/1976,Válido,45
45123,206,Suplente,DORIVANIO STEIN,VANINHO STEIN,M,19/07/1980,Válido,45
45666,20,Suplente,MARILZA APARECIDA STUMM,MARILZA DA ESCOLA,F,26/06/1973,Válido,45
45555,27,Suplente,TEOMARIO ROCHA BORGES,TEOMARIO MARIMBONDO,M,28/01/1961,Válido,45
45222,47,Suplente,DENILSON MARCELLINO LOPES,DENILSON LOPES,M,27/07/1971,Válido,45
45333,335,Suplente,UBALDINO SARAIVA,UBALDINO SARAIVA,M,06/05/1968,Válido,45
45678,412,Eleito,CEZAR TADEU RONCHI JUNIOR,CEZINHA RONCHI,M,26/08/1971,Válido,45
40333,67,Suplente,LAUDEMIRO DARCIO KLIPPEL,TATU DO TAXI,M,23/03/1978,Válido,40
40004,10,Suplente,ANA LUCIA FERNANDES TRARBACH,ANA DA SAÚDE,F,24/03/1971,Válido,40
40888,24,Suplente,VERONICA FRANCISCA MONTEIRO,VERONICA FALCAO,F,10/12/1978,Válido,40
40777,22,Suplente,ARMELINDA BASSANI,NEGA BASSANI,F,09/09/1968,Válido,40
40999,36,Suplente,CARLOS ANTONIO LORENZONI,NENEM CACHORRO DOIDO,M,29/01/1975,Válido,40
40555,8,Suplente,GIVANILDO COUTINHO DE FREITAS,GIL COUTINHO,M,12/01/1977,Válido,40
40444,338,Suplente,PAULO LOVATTI JUNIOR,JUNIOR LOVATTI,M,09/06/1965,Válido,40
40222,363,Eleito,LUCIANO NAVAR BOENO MENENDEZ,NAVAR BOENO,M,18/03/1990,Válido,40
40656,27,Suplente,EVERALDO TRARBACH,EVERALDO TORRESMINHO,M,16/12/1982,Válido,40
40123,94,Suplente,IZABELA CRISTINI BOLDRINI,IZABELA DE ARAGUAYA,F,06/12/1992,Válido,40
40000,79,Suplente,JOSE CRISTIANO RODRIGUES PINTO,CRISTIANO COMPANHEIROCHURRASCO,M,18/06/1981,Válido,40
40122,689,Eleito,MAYLSON LITTIG,MAYLSON LITTIG,M,23/10/1989,Válido,40
10111,17,Suplente,MARIA LUZIA LUCAS,TIA LU,F,16/04/1959,Válido,10
10987,43,Suplente,ROSALIA MARIA DO SACRARIO,ROSALIA DA SAÚDE,F,19/09/1980,Válido,10
10123,169,Suplente,ROBERCI DANIEL,NIQUINHA DE VICTOR HUGO,M,01/07/1973,Válido,10
10456,12,Suplente,ADEIR DA SILVA OLIVEIRA,ADEIR SILVA,F,13/04/1994,Válido,10
10888,17,Não eleito,VERA LUCIA DE MORAES RAMOS,VERA DA 3ª IDADE,F,29/04/1972,Anulado sub judice,10
10369,401,Eleito,JOSE RODOLFO KROHLING,DODO KROHLING,M,05/05/1987,Válido,10
10999,7,Suplente,VALMIR RIBETH,VALMIR RIBETH,M,25/02/1972,Válido,10
10500,24,Suplente,JOSE RANGEL DE MORAIS,JOSE RANGEL,M,03/04/1954,Válido,10
10789,20,Suplente,JOCIVALDO BUSATO LORENZON,CIVALDO FIORI,M,07/03/1983,Válido,10
10000,209,Suplente,GILBERTO PILON MARTINS,GILBERTO PILON,M,16/11/1975,Válido,10
10522,66,Suplente,MOACYR ESPINDULA,MIMIRO,M,01/09/1952,Válido,10
18900,794,Eleito,FELIPE HULLE DELPUPPO,FELIPE DELPUPPO,M,17/12/1997,Válido,18
18069,9,Não eleito,RENATO REGIANI,RENATO REGIANI,M,09/03/1984,Anulado sub judice,18
18520,20,Suplente,LEONIDIA MARIA KROHLING DE SOUZA,LEONIDIA KROHLING,F,22/04/1961,Válido,18
18456,327,Eleito,JUAREZ JOSE XAVIER,JUAREZ XAVIER,M,02/03/1966,Válido,18
18600,37,Suplente,VALDECIR CASAGRANDE,CASAGRANDE,M,23/02/1962,Válido,18
18888,14,Suplente,FRANCIELE CHRISTO,FRANCIELE CHRISTO,F,01/11/1978,Válido,18
18000,81,Suplente,MOACIR ULIANA,MOACIR ULIANA,M,24/05/1970,Válido,18
18321,32,Suplente,CLAUDETE ANGELA CHRISTE,CLAUDETE ACS,F,11/07/1960,Válido,18
18401,8,Suplente,LUCILENE DAS GRAÇAS MENASSA FERNANDES,MARLENE FERNANDES,F,24/07/1959,Válido,18
18123,157,Suplente,DÓRIO ALFREDO BRAUN,DÓRIO DA FARMACIA,M,19/11/1954,Válido,18
18333,42,Não eleito,LEODETE DA PENHA DE DEUS AGUIAR,DETE DA SAÚDE,F,27/03/1967,Anulado sub judice,18
18100,26,Suplente,ELIAS HOFFMANN,ELIAS HOFFMANN,M,04/04/1976,Válido,18
18444,29,Suplente,THAYNARA SILVA RHEIN,THAYNARA RHEIN,F,28/09/1989,Válido,18
18500,31,Suplente,NOÉ COSMO KIEFER,NOÉ COSMO,M,16/03/1985,Válido,18
