numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
23033,70,Suplente,ORIVALDO MARCELO TOZZI,MARCELO TOZZI,M,28/11/1965,Válido,23
23000,248,Suplente,VERGÍLIO MARCOS FURLAN CAMATA,VERGÍLIO CAMATA,M,07/03/1998,Válido,23
23321,283,Eleito,JOSIANE CRISTINA DA SILVA PASSAMANI,JOSI PASSAMANI,F,17/03/1978,Válido,23
23190,539,Eleito,JOSUÉ BATISTA DA SILVA,SARGENTO BATISTA,M,31/03/1969,Válido,23
23555,171,Suplente,PEDRO RUUS DOS SANTO,PEDRO RUUS,M,28/08/1963,Válido,23
23222,40,Suplente,PAULO CEZAR JUNCA,PAULO JUNCA,M,11/09/1966,Válido,23
23333,78,Suplente,RUBERVAL DA SILVA VICTER,VICTER FRETE,M,03/12/1975,Válido,23
23231,15,Suplente,SILVIA MEIRE VENTURA,SILVIA MEIRE,F,27/01/1979,Válido,23
23137,14,Suplente,GUIOMAR BROSEGHINI DOS SANTOS,GUIOMAR DOS SANTOS,F,04/05/1961,Válido,23
23123,178,Suplente,EDSON COMERIO,EDSON COMERIO,M,02/10/1955,Válido,23
23400,37,Suplente,JACI DE LOURDES MERLO,LURDES MERLO,F,14/08/1968,Válido,23
23111,134,Suplente,SAMUEL VICENTE,SAMUEL VICENTE,M,24/07/1985,Válido,23
23023,71,Suplente,LIDIANE DE SOUZA ALMEIDA,LIDIANE ALMEIDA,F,05/07/1979,Válido,23
23456,108,Suplente,BRUNO CALDARA,BRUNO CALDARA,M,21/04/1980,Válido,23
40345,13,Suplente,ERICA NOGUEIRA DA SILVA,ERICA GARI,F,05/09/1979,Válido,40
40999,291,Eleito,ADILSON REGGIANI,ADILSON REGGIANI,M,23/01/1970,Válido,40
40444,201,Suplente,SUZI EVER LORENZONI,SUZI DO TENÓRIO,F,05/05/1961,Válido,40
40123,175,Suplente,AMÉRICO DA SILVA MORAIS,MERQUINHA,M,06/12/1953,Válido,40
40240,30,Suplente,ROSARIA BETANIA RODRIGUES,ROSARIA BETANIA,F,31/08/1962,Válido,40
40555,243,Suplente,VANDELEIA BOLSANELO MARIM,VANDELEIA BOLSANELO LÉIA,F,28/07/1976,Válido,40
40777,90,Suplente,GERALDO JOSÉ DRAGO,GERALDO DRAGO,M,19/03/1956,Válido,40
40111,191,Suplente,IVALDO DA SILVA,PELÉ,M,14/05/1971,Válido,40
40000,335,Eleito,SILVANO JOSÉ DONDONI,SILVANO DONDONI,M,30/12/1972,Válido,40
40789,390,Eleito,DOUGLAS BADIANI,DOUGLAS BADIANI,M,07/04/1972,Válido,40
45777,142,Suplente,TADEU MANTOVANELLI,TADEU MANTOVANELLI,M,12/05/1978,Válido,45
45333,58,Suplente,JOSE ACACIO MOLINO,SAPIM,M,03/06/1960,Válido,45
45222,51,Suplente,MARINETI LEPPAUS FAVARATO,MARINETI FAVARATO,F,20/09/1973,Válido,45
45555,53,Suplente,CELESIA RONQUETI AGRIZZI,CELESIA,F,04/07/1977,Válido,45
45000,32,Suplente,MARIA VITALINA VIEIRA,TIA MARIA DA PIPOCA,F,21/02/1952,Válido,45
45888,45,Suplente,MARCILENE MARIA MOROSINI GATTI,MARCIA MOROSINI,F,02/07/1971,Válido,45
45111,165,Suplente,WESLEY SMARZARO,WESLEY LIBERDADE,M,03/11/1984,Válido,45
45999,15,Suplente,ROBSON FERNANDES DOS SANTOS,ROBSON DE SAO MARCOS,M,06/04/1983,Válido,45
45678,53,Suplente,FERNANDO CALVI,FERNANDO,M,27/08/1980,Válido,45
45123,569,Eleito,EMILIO GAVA,PROFESSOR EMILIO GAVA,M,12/01/1987,Válido,45
10456,123,Suplente,ELIAS PEREIRA,ELIAS PEREIRA,M,25/03/1968,Válido,10
10180,6,Suplente,SEBASTIANA ILENE TAMANINI DA SILVA,LENE,F,19/07/1974,Válido,10
10777,729,Eleito,JOVANDER COMERIO,JO COMERIO,M,26/12/1977,Válido,10
10789,43,Suplente,JOAQUIM ALVES DE SOUSA,JOAQUIM,M,03/07/1969,Válido,10
10111,68,Suplente,VANILDO MOSCHEN,MOSCHEN DO QUEIJO,M,05/12/1972,Válido,10
10333,156,Suplente,DJACIR GREGORIO CAVERSAN,DEJA,M,30/12/1941,Válido,10
10500,37,Suplente,PAULO SERGIO CROCE,BINDA CROCE,M,20/03/1968,Válido,10
10666,7,Suplente,ANGELICA ALVES BARBOSA,ANGELICA,F,15/02/1989,Válido,10
10222,130,Suplente,JONESMAR CHAGAS ZANCHI,DIONES TUBARÃO,M,30/07/1972,Válido,10
10010,8,Suplente,ADEGENANE SOARES OTONI,NANI,F,22/12/1973,Válido,10
11000,139,Suplente,CLAUDIENE MARIA CALIMAN FERRAZ,DENI CALIMAN,F,23/08/1962,Válido,11
11777,11,Suplente,NELIDA RAYNAUD DA SILVA,NELIDA ENFERMEIRA,F,18/05/1946,Válido,11
11500,87,Suplente,ADELINO DE ASSIS INÁCIO,ADELINO DA AMBULÂNCIA,M,25/10/1976,Válido,11
11999,63,Suplente,JOSE HENRIQUE COLATTO,HENRIQUE COLATTO,M,23/01/1962,Válido,11
11011,14,Suplente,MARCOS CESAR SARAIVA SANTOS,MARCÃO,M,22/05/1970,Válido,11
11333,25,Suplente,CARLOS ROBERTO,PIMENTA,M,13/02/1965,Válido,11
11123,373,Eleito,PAULO COSTA,PAULINHO COSTA,M,23/11/1976,Válido,11
11555,54,Suplente,IVAGNO LEAL DE SOUSA,IVAGNO DE SOUSA,M,09/11/1988,Válido,11
11222,140,Suplente,OSMAR RAMOS,OSMARZINHO DA FARMÁCIA,M,24/01/1973,Válido,11
11489,14,Suplente,MARIA ROSILENE MOREIRA ALVES,MARIA ROSILENE,F,08/11/1979,Válido,11
11112,348,Eleito,ALCIONE BOLDRINI MONECHI,ALCIONE,F,24/10/1977,Válido,11
11111,55,Suplente,CREUZA DOS SANTOS BOLSANELO,CREUZA,F,27/12/1980,Válido,11
11456,8,Suplente,JOÃO ROCHA DA SILVA,JOÃO ROCHA DA SILVA,M,12/04/1966,Válido,11
22222,11,Não eleito,AGUINALDO ALVES BARBOSA,AGUINALDO BARBOSA,M,22/05/1964,Válido,22
22000,7,Não eleito,MARIANA DONATELI BRAZ PEIXOTO DE OLIVEIRA,MARIANA DO FABRIANO,F,13/02/1996,Válido,22
