numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
11222,106,Suplente,VALÉRIA CRISTINA DA SILVA NOIA,VALÉRIA CRISTINA,F,13/02/1976,Válido,11
11400,19,Suplente,TATIANA FAVORETO DE OLIVEIRA PAULUCIO,TATI FAVORETO PAULUCIO,F,06/03/1980,Válido,11
11777,16,Suplente,ROSÂNGELA MORGADO GUIMARÃES,ROSÂNGELA MORGADO,F,27/01/1970,Válido,11
11333,15,Suplente,SALOMÃO PASTORE FELETTI,SALOMÃO FELETTI,M,03/11/1990,Válido,11
11888,77,Suplente,JOSUÉ CARVALHO FLORA,JOSUÉ CARVALHO FLORA,M,15/06/1983,Válido,11
11555,38,Suplente,FELIPE DE SOUZA THIENGO,FELIPE THIENGO,M,15/09/2001,Válido,11
11000,179,Eleito,CAIQUE DE SOUZA CARVALHO,CAIQUE DE SOUZA CARVALHO,M,22/10/2000,Válido,11
11444,117,Suplente,ELIAQUIM NEVES DE ALMEIDA,ELIAQUIM ALMEIDA,M,10/05/1990,Válido,11
11123,122,Suplente,JEFERSON ALEX VIEIRA,JEFERSON TELEMAR,M,21/03/1977,Válido,11
11111,149,Suplente,JULIO CESAR VIEIRA,PANELA DO LANCHE,M,15/08/1980,Válido,11
12300,379,Eleito,AGENOR FAVORETO FILHO,PROFESSOR AGENOR,M,26/08/1964,Válido,12
12444,84,Não eleito,JOEL ROCHA SGRANCIO,JOEL ROCHA SGRANCIO,M,14/04/1952,Anulado,12
12222,164,Suplente,VALDIR GONÇALVES FILHO,DIRIM,M,30/12/1971,Válido,12
12122,73,Suplente,DIMAS ANTONIO DA SILVA,DIMAS JUNIOR,M,21/12/1971,Válido,12
12999,6,Suplente,LILIANE DE LOURDES MOREIRA,LILIANE,F,29/09/1978,Válido,12
12555,148,Suplente,CLAUDIOMIRO VIEIRA,MIRIM,M,17/10/1957,Válido,12
12356,298,Suplente,AILTON JOSE VIAL,AILTON VIAL,M,30/04/1955,Válido,12
12345,309,Eleito,EDIMAR PEREIRA CHAVES,GURI,M,04/08/1961,Válido,12
12088,22,Suplente,ADRIANA CABANEZ MACHADO,ADRIANA DO BRUNO DO IDINHO,F,01/06/1988,Válido,12
12666,110,Suplente,MARIA LUZIA SIMEAO MUNIZ,PROFESSORA LUZIA SIMEÃO,F,20/05/1968,Válido,12
12123,48,Suplente,JOSE LUCAS BARBOSA,ZÉ LUCAS,M,24/01/1960,Válido,12
12777,6,Suplente,ZENILDA ALVES DE SOUZA,ZENILDA ALVES,F,21/09/1975,Válido,12
12000,269,Suplente,GILCIMAR MARIANO RANGEL,SIMINHO,M,30/12/1983,Válido,12
51222,180,Suplente,CARLOS ROBERTO FIGUEIREDO,CARLINHOS DA IATE,M,12/10/1969,Válido,51
51888,21,Suplente,ELISABETE DA PENHA LEONCIO,ELISABETE LEONCIO,F,16/03/1973,Válido,51
51321,58,Suplente,VANESSO CABANEZ DE ATHAIDE,VANESSO CABANEZ,M,09/06/1980,Válido,51
51111,3,Suplente,GLÓRIA MÁXIMO GUEDES,GLÓRIA MÁXIMO,F,30/04/1960,Válido,51
51555,6,Suplente,ANTONIO CORCINO DA SILVA,ANTONIO CORCINO,M,12/11/1963,Válido,51
51999,229,Suplente,WILSON DA SILVA BRAGA,WILSON BRAGA,M,17/02/1961,Válido,51
51051,4,Suplente,MARIA FRANCISCA DE AMORIM,MARIA DO LAVADOR,F,12/07/1969,Válido,51
51789,73,Suplente,JOÃO FIRMINO DE ARAUJO,JOÃO CATUABA,M,06/11/1957,Válido,51
51234,292,Eleito,JOSÉ MARIA BERGAMINI,SARGENTO ZÉ MARIA,M,08/07/1969,Válido,51
13123,18,Suplente,ODILIA APARECIDA FERREIRA LORDELO,ODILIA LORDELO,F,04/10/1956,Válido,13
13111,74,Suplente,GLAUBIA LUCIA LOREDO DE SOUZA,PROFESSORA GLAUBIA,F,10/01/1969,Válido,13
13333,111,Suplente,JOÃO CÂNDIDO SOARES,PASTOR JOÃO,M,25/03/1967,Válido,13
13444,39,Suplente,ISAQUE DE ALMEIDA,ISAQUE DE ALMEIDA,M,02/07/1985,Válido,13
13999,8,Suplente,EDSON LUIZ GARCIA PIMENTEL,EDINHO,M,24/02/1980,Válido,13
13222,420,Eleito,SEBASTIÃO GILDO MARES PEREIRA,GILDO DO SINDICATO,M,02/03/1969,Válido,13
13456,213,Suplente,JOSE GABRIEL CASSA,JOSE GABRIEL CASSA,M,14/07/1958,Válido,13
13639,39,Suplente,JAQUELINE ANDRADE DE ARAUJO ASSIS,JAQUELINE ARAUJO,F,01/07/1997,Válido,13
13555,40,Suplente,JAIMERSON MARQUES DA SILVA,JAIMERSON DO DIVINO,M,01/01/1977,Válido,13
13789,80,Suplente,HUENDER FERREIRA GUEDES,HUENDER DECO,M,08/06/1983,Válido,13
90123,273,Não eleito,CLAUDIMAR CRESCENCIO CATARINOZI CARVALHO,CLAUDIMAR DE ASSUNÇÃO,M,29/05/1965,Válido,90
90444,35,Não eleito,MARIA CLEUSA MOREIRA COGO,CLEUSA COGÔ,F,05/04/1969,Válido,90
90000,87,Não eleito,RENATA SOARES ALVES,RENATA DO ZE DODICO,F,28/07/1987,Válido,90
90555,40,Não eleito,TORQUATO ESPINOSO GIMENES,NICO ESPINOSO,M,08/01/1947,Válido,90
90333,28,Não eleito,KENNEDY AGUIAR,TOSTAO DA TCHEIA,M,30/03/1966,Válido,90
90222,176,Não eleito,CARLOS HUMBERTO DA SILVEIRA RIBEIRO,DHIO-DHOW,M,03/04/1978,Válido,90
19266,56,Suplente,CLAUDIO ROBERTO DA COSTA,BETÃO,M,11/02/1975,Válido,19
19456,71,Suplente,RONALDO RODRIGUES RIBEIRO,VASQUINHO,M,04/06/1952,Válido,19
19224,103,Suplente,ZILDABETE CURTY VIAL,BETE,F,08/07/1968,Válido,19
19333,33,Suplente,ANIBAL COMAN,ANILBAL COMAN,M,11/03/1964,Válido,19
19123,25,Suplente,THIAGO VIEIRA DE SOUZA ELEUTÉRIO,THIAGO VIEIRA,M,27/08/1992,Válido,19
19121,43,Suplente,HELIOMAR LOUCATELLI,HELIOMAR,M,04/12/1954,Válido,19
19111,147,Suplente,CLEIDIANE LIMA,CLEIDE DO JUNINHO,F,26/08/1986,Válido,19
19720,4,Suplente,REGIANE ONÓRIO VICENTE,REGIANE VICENTE,F,10/03/1977,Válido,19
19555,55,Suplente,ROGERIO MARCHITO DE FREITAS,ROGERIO FARIA,M,22/01/1956,Válido,19
19019,216,Eleito,SERGIO FELETTI,SARGENTO FELETTI,M,09/07/1971,Válido,19
19000,47,Suplente,GILMAR GONÇAVES POPPI,GILMAR POPPI,M,29/11/1969,Válido,19
19129,57,Suplente,SIRLENE BAPTISTA ALMEIDA,SIRLENE ALMEIDA,F,12/09/1994,Válido,19
19135,4,Suplente,LUBIANE CRISTINE DE FRANÇA,LUBIANE,F,19/11/2001,Válido,19
23000,199,Eleito,ROBERTO RIVELINO ALMEIDA,RIVELINO,M,21/10/1976,Válido,23
23900,2,Suplente,SIMONE MARIA PAULUCIO,SIMONE PAULUCIO,F,08/04/1976,Válido,23
23123,142,Suplente,EDSON LIBAINO,BUIÚ DA FARMÁCIA,M,14/10/1972,Válido,23
23456,165,Suplente,CARLOS ROBERTO DE SOUZA,CARLINHOS MARIOLA,M,12/05/1967,Válido,23
23223,66,Suplente,BEATRIZ ALEXANDRE DA SILVA,BEATRIZ ALEXANDRE,F,30/10/1994,Válido,23
23654,44,Suplente,DELCIO SOARES,DÉLCIO DA ÓTICA JACARÉ,M,21/11/1963,Válido,23
23500,77,Suplente,TELMA APARECIDA ALVES,TELMA,F,08/04/1987,Válido,23
23555,80,Suplente,MAURÍLIO PAULÚCIO,MAURÍLIO PAULÚCIO,M,24/04/1999,Válido,23
23333,55,Suplente,JOSÉ ANTÔNIO FREITAS PEIXOTO,BATATA,M,01/08/1966,Válido,23
23222,14,Suplente,CLEISIANE DE OLIVEIRA PAIXÃO,KEKÊ PAIXÃO,F,06/12/1990,Válido,23
33333,354,Suplente,ERALDO JOSE SOBREIRA BRAVO,SOBREIRA,M,01/04/1970,Válido,33
33666,6,Suplente,LAIZA APARECIDA COSTA,LAIZA,F,28/09/1988,Válido,33
33222,66,Suplente,CLEBER PEREIRA DOS SANTOS,MINEIRO,M,23/08/1973,Válido,33
33555,47,Suplente,JOSE FRANCISCO DE OLIVEIRA FILHO,ZE DO CHICO,M,26/04/1966,Válido,33
33444,2,Suplente,MARIA JOSE GARCIA,DHÉ GARCIA,F,08/07/1981,Válido,33
33111,41,Suplente,JOSE FRANCISCO DA SILVA,QUIM EMIDIO,M,16/04/1970,Válido,33
33999,178,Suplente,EDUARDO SOARES AFFONSO,EDUARDO SOARES AFFONSO,M,18/04/1966,Válido,33
33888,3,Suplente,FERNANDA ALICE PIMENTEL AMBROSIO,FERNANDA ALICE PIMENTEL,F,11/11/1986,Válido,33
33123,150,Suplente,JOSE NILTON PAULUCIO,ZEZE PAULUCIO,M,16/11/1965,Válido,33
33777,87,Suplente,LUCIO FLAVIO DE OLIVEIRA,BRANCO,M,30/01/1995,Válido,33
33567,85,Suplente,DIONES RIBEIRO,JHONY BOY,M,17/06/1980,Válido,33
33456,524,Eleito,VILMA SOARES LOUZADA,VILMA SOARES LOUZADA,F,08/11/1958,Válido,33
40000,34,Suplente,VIVIANE APARECIDA CASSA,VIVIANE CASSA,F,30/10/1976,Válido,40
40321,35,Suplente,JOEL VIEIRA JUNIOR,JOEL DA RÁDIO,M,04/09/1973,Válido,40
40040,99,Suplente,MAXWELL JOSÉ DE VARGAS,SUEL,M,15/06/1973,Válido,40
40456,346,Suplente,SÔNIA MARTA SOARES MIGNONE,SONINHA MIGNONE,F,19/09/1959,Válido,40
40111,41,Suplente,JOELMA APARECIDA MARCELINA DE OLIVEIRA LÚCIO,JOELMA DE OLIVEIRA,F,03/11/1977,Válido,40
40222,48,Suplente,ISAIAS ROQUE GOMES,ISAIS ROQUE,M,10/06/1976,Válido,40
40123,18,Suplente,ANGELITA FLÁVIA BOLZAN ALMEYDA,ANGELITA FLÁVIA,F,22/07/1976,Válido,40
