numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27007,71,Suplente,JOSÉ CARLOS BALMANT,CARLOS BALMANT,M,14/12/1965,Válido,27
27555,125,Suplente,JOSÉ MÁRCIO NASCIMENTO,MÁRCIO TETINHO,M,20/06/1978,Válido,27
27123,146,Suplente,ALSENIR LUIZ DE SOUZA,ALSENIR,M,15/03/1978,Válido,27
27888,8,Suplente,GLEICI KUELL LOPES,KELY PLANFETEIRA,F,28/10/1979,Válido,27
27162,7,Suplente,ADRIANE COELHO,ADRIANE COELHO,F,28/11/1987,Válido,27
27700,227,Suplente,CARLOS HENRIQUE CAETANO,DR CARLOS HENRIQUE,M,30/10/1990,Válido,27
27500,79,Suplente,JOSÉ RODRIGUES MARTINS,ZECÃO DA SÃO JOÃO,M,21/12/1968,Válido,27
27011,218,Suplente,ROQUE ANTONIO BALDOTTO,ROQUINHO,M,09/05/1962,Válido,27
27333,306,Eleito,JOSIAS MENDES MACHADO,JORGE MACHADO,M,01/11/1956,Válido,27
27000,54,Suplente,ADIGELÇO PARTELLI,PARTELLI,M,08/08/1963,Válido,27
27707,1,Suplente,DÉBORA DOS SANTOS BRAGA ANTUNES,DÉBORA BRAGA,F,23/05/1991,Válido,27
27777,79,Suplente,ALAN DELON DA SILVA PAIXÃO,SARGENTO ALAN DELON,M,12/02/1970,Válido,27
27444,269,Suplente,JOSÉ DE MENEZES,ZÉ MENEZES,M,11/11/1967,Válido,27
27812,70,Suplente,JOSÉ RENATO LIMA,ZÉ RENATO,M,31/05/1965,Válido,27
27911,41,Suplente,ELENY DOS SANTOS OLIVEIRA,ELENY OLIVEIRA,F,09/11/1971,Válido,27
25250,15,Não eleito,WELVES ARAUJO RODRIGUES,WELVES ARAUJO,M,20/12/2001,Válido,25
25025,32,Não eleito,DEBORAH DE SOUZA ARAUJO,DEBORAH ARAUJO,F,28/06/1997,Válido,25
25123,279,Não eleito,MARCELO NEUMANN,MARCELO ALEMÃO,M,27/07/1977,Válido,25
25000,40,Não eleito,MARIA MARTHA DA SILVA LANES,MARTHA COIFFEUR,F,20/10/1963,Válido,25
25555,64,Não eleito,WALACI ROZA DA COSTA,WALACI DA PADARIA,M,24/07/1977,Válido,25
23151,36,Não eleito,AFONSO BONOMO,AFONSO BONOMO,M,11/03/1972,Válido,23
15400,14,Suplente,CHRISLAYNE MOURA DA COSTA,CHRISLAYNE MOURA,F,21/11/1990,Válido,15
15500,30,Suplente,MARCIO ANDRESSON MATEUS,MARCIO BROCA,M,05/10/1979,Válido,15
