numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
27123,19,Não eleito,NILO DE SOUZA NETO,NILO DO SALÚ,M,21/09/1962,Válido,27
27333,18,Não eleito,ALCENIR KUSTER,ALCENIR KUSTER,M,15/06/1980,Válido,27
27000,20,Não eleito,MANASSES INACIO DA SILVA,MANASSES INACIO,M,28/04/1985,Válido,27
23333,181,Suplente,GEUCILENE BUGE ROMAES,GEUCI,F,15/02/1986,Válido,23
23999,390,Eleito,JUNIELTON ALVES RODRIGUES,JUNINHO TATÁ,M,27/10/1983,Válido,23
23789,6,Suplente,JOSEFANIA LOPES NASCIMENTO,JOSY,F,16/07/1979,Válido,23
23610,309,Suplente,LUIZ CARLOS DE SOUZA,FIZIQUINHO,M,01/04/1961,Válido,23
23111,336,Suplente,JUCIMARIO DE OLIVEIRA LANGAME,BILEU,M,23/11/1985,Válido,23
23555,2,Suplente,ROBERTA DE ASSIS VERMEULEN,ROBERTA DO RAMIRO,F,13/02/1978,Válido,23
23222,13,Suplente,ADEMAR TEIXEIRA FILHO,MARRECO,M,15/10/1965,Válido,23
23650,24,Suplente,ISADORA MARQUES VERDAN,ISADORA VERDAN,F,20/05/1999,Válido,23
23123,75,Suplente,CLAUDIO NASS,CLAUDIO NASS,M,13/10/1972,Válido,23
23000,76,Suplente,VALDEIR COELHO,VALDEIR COELHO,M,01/03/1968,Válido,23
23564,13,Suplente,ROANNITO PINA DE SOUZA,ROANITO JOGADOR,M,03/03/1968,Válido,23
23500,21,Suplente,LEONIDIO SCHWANZ,LEÃO DA AMBULÂNCIA,M,24/05/1970,Válido,23
55555,103,Não eleito,JAMIRO CARLOS BULLERJAHN,JAMIRO,M,25/03/1968,Válido,55
55678,50,Não eleito,JOSÉ CARLOS SCARDINI,ZÉ GALO,M,25/09/1956,Válido,55
55222,42,Não eleito,JOÃO DANIZETTE DA SILVA,JOÃO DANIZETE,M,25/10/1966,Válido,55
55789,65,Não eleito,ELDER MELQUÍADES DA SILVA,ELDER MELQUÍADES,M,17/11/1985,Válido,55
55123,36,Não eleito,ÉDIO CUSTÓDIO DE SOUZA,ÉDIO CUSTÓDIO,M,25/01/1975,Válido,55
55345,11,Não eleito,SEBASTIÃO CARLOS GOMES,TIÃO PÉ SECO,M,18/02/1973,Válido,55
55456,15,Não eleito,CRYSTIANY DAVID GOMES SILVA,CRISTIANE DAVID,F,13/06/1974,Válido,55
