numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25333,6,Não eleito,PAULO DE JESUS SANTOS,PAULO DE JESUS,M,25/10/1964,Válido,25
25551,50,Não eleito,KISSILA LUANA DOS SANTOS,KISSILA,F,08/05/1996,Válido,25
25222,15,Não eleito,ALINE AMARAL PEREIRA,ALINE,F,14/09/1985,Válido,25
25557,22,Não eleito,ALESSANDRA HUPP ALVES RIOS,ALESSANDRA HUPP,F,13/10/1973,Válido,25
25345,34,Não eleito,MARCELO FERNANDES DE OLIVEIRA,MARCELO DO  SALGADO,M,18/08/1981,Válido,25
25123,6,Não eleito,ERALDO GUEDES DE OLIVEIRA,ERALDO GUEDES,M,28/09/1977,Válido,25
25000,37,Não eleito,HUMBERTO MARCONDES RIBON,CONDINHA RIBON,M,28/02/1959,Válido,25
25457,2,Não eleito,BELONITA DOS SANTOS ARAGÃO,BELA,F,27/08/1991,Válido,25
25678,46,Não eleito,EUGENIO CARLOS FELIX MOTTA,EUGENIO DA FARMACIA,M,16/10/1973,Válido,25
25555,292,Não eleito,GILENO GOMES DA SILVA,GILENO,M,20/08/1962,Válido,25
25622,89,Não eleito,JOSE SOARES FERREIRA,ZE BETI,M,19/06/1955,Válido,25
25395,15,Não eleito,ABDENIGO CAMPOS CARVALHO,GUENO,M,02/09/1957,Válido,25
25777,41,Não eleito,LUCIANO LOPES MOREIRA,LUCIANO CAWBOY,M,06/05/1973,Válido,25
40122,477,Eleito,LUCAS VASCONCELLOS PEREIRA,LUQUINHAS BAIENSE,M,27/10/1990,Válido,40
40111,9,Suplente,MARIA DAS NEVES DOS SANTOS LIMA,MARIA DAS NEVES,F,05/08/1965,Válido,40
40557,73,Suplente,JUSCELINO ROSA DE OLIVEIRA,CELINO DAS COMUNIDADES,M,17/02/1960,Válido,40
40306,32,Suplente,KATIÚSCIA PORTO LIESNER,KATIÚSCIA LIESNER,F,24/05/1992,Válido,40
40777,91,Suplente,GESSICA TRINDADE HERMINIO,TIA GESSICA,F,14/01/1989,Válido,40
40999,14,Suplente,ALEX SANDRO DE JESUS VITORIO,LELÉ DO CANARINHO,M,06/05/1975,Válido,40
40233,30,Suplente,JEOZAFA DA COSTA SANTOS,PASTOR JEOZAFA,M,18/03/1984,Válido,40
40456,207,Suplente,IDELBRANDO SILVA DE FREITAS,IDELBRANDO DA AGRICULTURA,M,12/04/1976,Válido,40
40000,513,Eleito,ELEANDRO REIS KONOSKI,ELEANDRO DE FLORESTA DO SUL,M,19/09/1980,Válido,40
40100,18,Suplente,JOSE PEREIRA SOUSA,ZE PT,M,25/05/1954,Válido,40
40789,320,Eleito,JOÃO MENDES AMORIM,JOÃO AMORIM,M,26/04/1960,Válido,40
40333,194,Suplente,ATAIDES PEROBA DOS SANTOS,ATAIDES DO CAMATA,M,11/01/1982,Válido,40
40222,273,Suplente,GILDENE PEREIRA DOS SANTOS,GIL DA SAÚDE,M,01/09/1978,Válido,40
40123,187,Suplente,JURANDIR FRANCISCO,JOÃO SULA,M,29/08/1961,Válido,40
40852,282,Suplente,ANA KESIA SILVA SANTOS,ANA KESIA,F,22/10/1987,Válido,40
40555,80,Suplente,LAURA SANTOS SOUZA,LAURA DA SAÚDE,F,21/12/1976,Válido,40
43333,177,Suplente,GEILDO CASTILHO PEREIRA,G PLAC,M,25/10/1973,Válido,43
43111,134,Suplente,OTAVIO LIMA DOS SANTOS,TAVINHO,M,20/11/1963,Válido,43
43001,140,Suplente,RIMARCK SILVA TEIXEIRA,RIMARCK TEIXEIRA,M,05/03/1990,Válido,43
