numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
23333,27,Suplente,FRANCISCA ANDRADE FERREIRA RAMOS,FRANCISCA DA OLARIA,F,25/09/1969,Válido,23
23321,5,Suplente,ROZANGELA FOLADOR,ROZANGELA FOLADOR,F,13/12/1967,Válido,23
23456,237,Suplente,WALLACE DA CONCEIÇÃO DOS ANJOS,WALLACE DA SAÚDE,M,14/10/1975,Válido,23
23789,52,Suplente,LEONIDIO GLAESNER,LEONIDIO,M,28/11/1976,Válido,23
23555,254,Eleito,ROSIMAR JOSE LAHAS,ROSIMAR LAHAS,M,10/05/1975,Válido,23
23000,163,Suplente,VANISIO WALCHER HELMER,VANISIO WALCHER HELMER,M,19/04/1974,Válido,23
23222,20,Suplente,ANDREA LINO DE SOUZA GOMES,ANDREA DA SAÚDE,F,20/01/1978,Válido,23
23123,232,Suplente,MARCELO FERREIRA LEPAUS,MARCELO LEPAUS PERU,M,02/02/1980,Válido,23
15222,34,Não eleito,SANTOS DUMONT ALVES,PASTOR SANTOS,M,13/06/1963,Válido,15
15333,7,Não eleito,MARLENE LEOPOLDINO DA SILVA,MARLENE LEOPOLDINO,F,01/12/1956,Válido,15
15555,20,Não eleito,ARGENTINO LUIZ BERTOLI,ARGENTINO BERTOLI,M,15/08/1941,Válido,15
11000,98,Não eleito,BELMIRO SCHULZ,BELMIRO SCHULZ,M,21/11/1975,Válido,11
11011,15,Não eleito,IVANETE RAMOS CRAUS,NETE CRAUS,F,19/09/1974,Válido,11
11123,18,Não eleito,DANIEL LICHTENHELD,DANIEL LICHTENHELD,M,13/02/1989,Válido,11
11111,152,Não eleito,IGOR SILVA DE SOUZA,IGOR DO GAS,M,03/01/1981,Válido,11
12125,11,Suplente,ALCIENE NUNES MODESTO,CIENE NUNES,F,12/08/1992,Válido,12
12345,453,Eleito,JEFFERSON RODRIGUES,JEFINHO,M,27/01/1985,Válido,12
12400,223,Suplente,ILÁRIO STEINER,ILÁRIO STEINER,M,19/10/1955,Válido,12
12555,6,Suplente,LARISSA MASSING,LARISSA DA BARRA,F,18/06/1999,Válido,12
12123,113,Suplente,MARIA REGINA SCHEPPA,REGINA DO AÇOUGUE,F,01/07/1961,Válido,12
12777,5,Suplente,ILZA BROMERSCHENKEL SIMÃO,ILZA VIÚVA,F,04/07/1970,Válido,12
12333,125,Suplente,ELTON DOS ANJOS VIEIRA,ELTINHO,M,28/06/1985,Válido,12
12300,83,Suplente,SIDNEY SCHAEFFER,SIDNEY,M,27/05/1991,Válido,12
12369,184,Suplente,HELIO APARECIDO GONÇALVES DA COSTA,HELIO COSTA,M,01/10/1968,Válido,12
12222,96,Suplente,WALDEMAR ROBERS LAASS,WALDEMAR LAASS,M,04/10/1964,Válido,12
12500,267,Eleito,ROMI CARLOS FACCO MULLER,ROMI MULLER,M,17/10/1972,Válido,12
12000,338,Eleito,SERGIO ANGELI LAGO,SERGIO LAGO,M,22/06/1976,Válido,12
14700,86,Suplente,FABIO RIBEIRO,FABINHO DO CHAVES,M,14/07/1973,Válido,14
14400,380,Eleito,NELSON LICHTENHELD,NELSON DO SINDICATO,M,29/06/1968,Válido,14
14555,33,Suplente,FABIANO GOVEIA,FABIANO DA AUTO ESCOLA,M,10/09/1988,Válido,14
14123,57,Suplente,VOLMAR FLEGLER,VOLMAR,M,16/07/1978,Válido,14
14444,62,Suplente,LAIANA DE CARVALHO FREITAS,LAIANA DO HOSPITAL,F,11/11/1977,Válido,14
14900,1,Suplente,LUCIANA MARIA DA SILVA,LUCIANA SILVA,F,06/06/1975,Válido,14
14500,500,Eleito,DEUCIMAR ROMAGNA,MAZINHO,M,12/03/1961,Válido,14
