numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
15150,165,Suplente,GILMAR SANTOS AGOSTINHO,GILMAR AGOSTINHO,M,07/08/1966,Válido,15
15666,288,Eleito,GILMAR ANTONIO CAMPISTA,GILMAR VERMELHO,M,22/07/1968,Válido,15
15300,22,Suplente,MERCEDES ELENA MISCHIATTI LEMKE,MERCEDES TAXISTA,F,23/06/1949,Válido,15
15020,192,Suplente,ADRIANA MARQUES SOUZA FONTES,PROFESSORA ADRIANA FONTES,F,02/07/1972,Válido,15
15888,32,Suplente,SANDRA ZANONI,SANDRA ZANONI,F,24/07/1975,Válido,15
15222,222,Suplente,NIVALDO LEPAUS,LEPAUS,M,25/06/1964,Válido,15
15123,352,Eleito,GERVASIO PAULO MADALON,MADALON,M,25/01/1971,Válido,15
15500,37,Suplente,SILVIA HELENA VALENTIM DE ALMEIDA,SILVIA VALENTIM,F,12/07/1975,Válido,15
15678,245,Suplente,MARCOS HELING,MARCOS HELING,M,23/04/1986,Válido,15
15111,268,Suplente,MARCIO ANTONIO LEMOS,ALEMÃO LEMOS,M,08/10/1971,Válido,15
15900,56,Suplente,CARLOS ALBERTO ENGELHARDT,BETO DA JARDINAGEM,M,08/10/1970,Válido,15
15000,173,Suplente,LUIZ CARLOS NOVELLI,FEFEU NOVELLI,M,25/07/1946,Válido,15
15555,66,Suplente,JUREMA TONINI DOS SANTOS,PROFESSORA JUREMA TONINI,F,15/04/1955,Válido,15
15777,38,Suplente,DEYVID LUCHI FROCHLICH,DEYVID,M,01/10/1980,Válido,15
15010,76,Suplente,BRUNO FELIPE EFFGEN NOVELLI,NOVELLI,M,15/06/1987,Válido,15
15235,8,Suplente,TELMA RIBEIRO,TELMA RIBEIRO,F,04/02/1985,Válido,15
11555,23,Suplente,MARCOS ANTONIO DA ROCHA,MARCOS TAXISTA,M,18/12/1974,Válido,11
11777,248,Suplente,MARIA JOSETE ZOTTELE FERRI,JOSETE,F,29/05/1952,Válido,11
11234,23,Suplente,MARIA ALVES TOREZANI,MARIA ALVES,F,28/09/1948,Válido,11
11911,4,Suplente,DALISSON CASTRO DE SOUZA,DALISSON,M,29/11/1979,Válido,11
11123,90,Suplente,EDSON BROSEGHINI,SEU MADRUGA,M,16/09/1957,Válido,11
11112,8,Suplente,GABRIEL FERREIRA DA SILVA,GABRIEL,M,26/02/1957,Válido,11
11456,11,Suplente,RAQUEL CARLAS DE SOUZA MARROCHI,RAQUEL DE SOUZA,F,31/07/1973,Válido,11
11444,12,Suplente,RAFAELE RAMOS BULIAN,RAFAELE,F,24/02/1988,Válido,11
11000,80,Suplente,JOÃO CARLOS DA COSTA,DECO PRETO,M,23/05/1968,Válido,11
11222,10,Suplente,IZALDINO MARCELOS PEREIRA,MARCELO,M,04/01/1954,Válido,11
11113,55,Suplente,CARLOS ANDRE LOPES ROZADO,CARLINHOS LOPES,M,11/02/1969,Válido,11
11333,144,Suplente,MARCIDELIA MARIA BUTKE NASCIMENTO,MARCIA NASCIMENTO,F,25/02/1970,Válido,11
11111,529,Eleito,BRUNO HENRIQUES ARAUJO,BRUNO ARAUJO,M,16/09/1977,Válido,11
11666,11,Suplente,NEMERSON CORREA DE SOUZA,NEMERSON,M,25/12/1975,Válido,11
11255,301,Eleito,PAULO VITOR ASTOLPHI,PAULO VITOR,M,22/12/1991,Válido,11
25123,41,Não eleito,JOSE CARLOS HERMOLAU,ZE BIGODE,M,22/11/1958,Válido,25
25000,20,Não eleito,DÊIVELA SOUSA SBARDELOTTI SANTOS,DEIVELA SBARDELOTTI,F,16/03/1997,Válido,25
25555,122,Não eleito,EDIRLEI BRAS DALMONECH,DJ LEO DA RADIO,M,16/03/1979,Válido,25
25001,84,Não eleito,EDSON MOREIRA BATISTA,SARGENTO EDSON,M,13/07/1964,Válido,25
25111,14,Não eleito,MARINALVA APARECIDA MATTEDI RASSELE,NALVA,F,13/03/1973,Válido,25
25888,11,Não eleito,EDLUCIA OLIVEIRA DE ALVARENGA TRASPADINI,NENZINHA,F,14/03/1978,Válido,25
25025,175,Não eleito,JOSÉ ADALTO RIEDEL,DALTO DO HOSPITAL,M,25/09/1963,Válido,25
25100,87,Não eleito,JOÃO EUSTAQUIO MOREIRA,EUSTAQUIO AMIGO,M,25/03/1959,Válido,25
22100,17,Não eleito,RENNAN DE SOUZA SOARES,RENNAN,M,07/06/1971,Válido,22
22002,13,Não eleito,RONELO CLARINDO BARBOSA,RONI DIAZ,M,07/02/1987,Válido,22
22223,32,Não eleito,EDEMIR JOSE THOMAS,DOZINHO,M,03/02/1981,Válido,22
22121,45,Não eleito,LUCINEIA MARIA FURLANI,NEIA FURLANI,F,31/07/1972,Válido,22
22333,73,Não eleito,ELIAS ANTONIO COUTO,ELIAS COUTO,M,23/05/1972,Válido,22
22123,189,Não eleito,SANDRA DOSSI CROCE,SANDRA DOSSI,F,28/03/1986,Válido,22
22222,22,Não eleito,WENDEL DETTONI REGATTIERI,WENDEL REGATTIERI,M,31/01/1974,Válido,22
22920,5,Não eleito,ZELBER DE FREITAS,ZELBER DE FREITAS JEGUINHO,M,19/03/1985,Válido,22
22555,8,Não eleito,AMANDA DA CRUZ PEGO,AMANDA PEGO,F,18/10/2001,Válido,22
17007,41,Suplente,DENILSON MOREIRA DE SOUSA,DENILSON MOREIRA,M,08/11/1980,Válido,17
17333,365,Eleito,RENATO COSMI,PROFº  RENATO,M,20/11/1976,Válido,17
17273,15,Suplente,IVANY PEREIRA SOARES DO CARMO,IVANY BISPO,F,07/05/1976,Válido,17
17500,56,Suplente,CARLOS RENATO FERNANDES,RENATO FERNANDES,M,25/08/1970,Válido,17
17456,11,Suplente,SANDRA MARIA BUBACH CORRÊA,SANDRA BUBACH,F,04/05/1974,Válido,17
17123,57,Suplente,GABRIEL BRAUN,GABRIEL BRAUN,M,31/05/1987,Válido,17
17200,36,Suplente,JOANA CÉLIA GONÇALVES DA ROCHA,JOANA ROCHA,F,22/11/1980,Válido,17
17045,46,Suplente,MARIO LUCIO MORAES GOES,MARIO GOES,M,07/11/1979,Válido,17
17000,172,Suplente,LEOMAR JUNIOR CAETANO,BOLA,M,02/01/1983,Válido,17
17777,354,Suplente,MARCOS CAVALCANTE DE MORAES,CABO MARCOS CAVALCANTE,M,22/08/1982,Válido,17
17999,121,Suplente,SEBASTIÃO NUNES DOS SANTOS,BASTIÃO NUNES,M,04/08/1983,Válido,17
17017,12,Suplente,JAQUELINE SCHAEFFER,JACK,F,26/03/1981,Válido,17
17117,36,Suplente,DIEGO MIERTSCHINKE DA SILVA,DIEGO,M,12/02/1987,Válido,17
