numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
25555,73,Suplente,ELECIR DE OLIVEIRA FURTADO,ELECIR DO HOSPITAL,F,31/10/1959,Válido,25
25000,145,Suplente,PAULO ROBERTO NOLASCO,PAULINHO MOTORISTA SAÚDE,M,08/06/1989,Válido,25
25100,13,Suplente,ADALGISA MARIA FERREIRA DE ALMEIDA,ADALGISA BILÉ,F,13/08/1964,Válido,25
25123,153,Eleito,JOSE MANOEL LOPES DA SILVA,JOSE MANOEL,M,30/08/1974,Válido,25
25111,6,Suplente,MARIA APARECIDA DA SILVA DIAS LIMA,CIDA DO TIBIRA,F,20/03/1981,Válido,25
25176,1,Suplente,BEATRIZ LUIZA DOS SANTOS CORREIA DE OLIVEIRA,BIA DO CAPS,F,03/09/1976,Válido,25
25678,99,Suplente,PAULO SERGIO SIMOES,PAULO SERGIO CABRITO,M,02/09/1968,Válido,25
25222,21,Suplente,SERGIO PEREIRA DE SOUZA,SERGIO PEREIRA,M,16/03/1953,Válido,25
25255,54,Suplente,ALMIR DE ALMEIDA LIMA,NEL LIMA,M,14/02/1960,Válido,25
25369,20,Suplente,EDUARDO GOMES CAMPOS DA FONSECA,EDUARDO DA ALEGORIA,M,15/03/1951,Válido,25
25250,150,Suplente,ANITO TEIXEIRA ABREU,ANITO PROFESSOR,M,06/01/1976,Válido,25
25789,39,Suplente,MODESTINO RODRIGUES NETO,TIM,M,08/08/1966,Válido,25
23222,46,Suplente,CELIANE APARECIDA BARBOSA ALVES,CELIANE KIKI,F,09/04/1971,Válido,23
23000,138,Suplente,BENEDITO BORGES DE SOUZA,DITO,M,27/03/1970,Válido,23
23444,31,Suplente,JOÃO DIMAS TEIXEIRA DE ALMEIDA,JOÃOZINHO DO ZEZINHO,M,04/10/1957,Válido,23
23555,20,Suplente,SILVETE FERREIRA FURTADO,SILVETE PROFESSORA,F,31/07/1962,Válido,23
23670,72,Suplente,JOSUÉ DA SILVA GONÇALVES,PASTOR JOSUÉ ZITO,M,07/04/1986,Válido,23
23123,94,Suplente,JULIERME COSTA DE ALMEIDA,JULIERME NEGÃO,M,08/04/1980,Válido,23
23112,68,Suplente,JOSÉ ROBERTO DA SILVEIRA CASTANHEIRA JÚNIOR,CASTANHA,M,06/03/1966,Válido,23
23023,31,Suplente,SEBASTIÃO NATAL GONÇALVES,NATAL,M,24/12/1969,Válido,23
23300,272,Eleito,ROBERTO JOÃO MOZELLI CALHAU VERVLOET,ROBERTO JOÃO MOZELLI,M,19/07/1998,Válido,23
23333,59,Suplente,ROBERTO CARLOS DE SOUZA,PASTOR ROBERTINHO,M,01/09/1973,Válido,23
23007,95,Suplente,FATIMA CRISTINA SOUZA DA SILVA,FATIMA DA SILVA,F,28/07/1979,Válido,23
23777,147,Eleito,PEDRO PAULO SILVA DE SOUZA,PAULINHO DO ZUZA,M,29/06/1973,Válido,23
23456,72,Suplente,ELDINEIA BORGES ESCRAMOZINI,NEINHA ESCRAMOZINI,F,18/04/1972,Válido,23
40789,35,Suplente,SÉRGIO LAZARINI LOPES,SERGINHO DA OFICINA,M,23/12/1983,Válido,40
40111,4,Suplente,GUSTAVO ALVES EVARISTO,GUSTAVO CEBOLA,M,27/05/1995,Válido,40
40223,376,Eleito,JANAÍNA LUIZA OLIVEIRA PIMENTEL PASSALINI,JANAÍNA BELINE,F,09/08/1974,Válido,40
40126,191,Eleito,MARVEN MENEZES LINS,MARVEN MENEZES,M,23/11/1989,Válido,40
40456,59,Suplente,JARDEL SILVA SOUZA,JARDEL DE SÃO BENEDITO,M,06/08/1992,Válido,40
40280,36,Suplente,MARIA ADÉLIA DE OLIVEIRA MOREIRA RODRIGUES,ADÉLIA DO GERALDO,F,08/08/1969,Válido,40
40000,82,Suplente,ELIAS MIRANDA DE SOUZA,DUREPOX,M,21/03/1975,Válido,40
40444,85,Suplente,ANTÔNIO CARLOS DE SOUZA BARCELOS,ANTÔNIO CARLOS TOINHO DA PARAB,M,01/11/1989,Válido,40
40234,53,Suplente,CRISTIANE ANDRADE DE LIMA,CRIS DO PANELÃO,F,31/03/1977,Válido,40
40222,31,Suplente,MARIA HELENA DE SOUZA RODRIGUES,MARIA HELENA DO TOCA,F,03/05/1998,Válido,40
40852,97,Suplente,FRANCISCO SANA,NEL DA TERRA DO SOL,M,27/11/1961,Válido,40
40123,80,Suplente,RITA DE CASSIA OLÍMPIO MARTINS,RITA OLÍMPIO DO HOSPITAL,F,01/01/1958,Válido,40
40060,48,Suplente,RAPHAEL COELHO NUNES,RAPHAEL DO OPALA,M,20/11/1988,Válido,40
40163,30,Suplente,JOANITO RODRIGUES BELONI,JOANITO,M,15/10/1963,Válido,40
43555,75,Não eleito,ROMÁRIO BARBOSA ROCHA,ROMÁRIO DIOL,M,24/10/1987,Válido,43
43040,13,Não eleito,MARIA AMÉLIA SOUSA MARTINS,MELINHA DA LECI,F,17/11/1988,Válido,43
43101,9,Não eleito,JANAINA APARECIDA DA SILVA MARCELINO,JANAINA NINA DA VALA,F,06/10/1979,Válido,43
43444,12,Não eleito,ALTAIR DOS SANTOS MINEIRO,MINEIRINHO DA PASTA,M,16/05/1961,Válido,43
43333,12,Não eleito,VALDEMIR FERREIRA ALEXANDRE,VALDEMIR FILHO DO JAMIL,M,31/08/1979,Válido,43
43678,17,Não eleito,MOACIR RAMARIO DA SILVA,MOACIR DA ASSEMBLÉIA,M,27/09/1955,Válido,43
43257,27,Não eleito,DORA LUCIA BARBOSA TERRA,DORA LÚCIA,F,09/07/1968,Válido,43
43123,30,Não eleito,MOACIR PIMENTEL,MOACIR PIMENTEL,M,09/08/1962,Válido,43
43000,12,Não eleito,PEDRO CARLOS TEIXEIRA SILVA,CARLINHO DO PEDRO ADÃO,M,03/10/1971,Válido,43
43222,15,Não eleito,GILMAR PEREIRA DA SILVA,GODA DO JACÁ,M,24/05/1978,Válido,43
51123,19,Não eleito,FRANCISCO CARLOS DA SILVA,CHICO BROA,M,30/04/1971,Válido,51
51333,19,Não eleito,MARIA APARECIDA CUNHA DE SOUZA,APARECIDA DOS PIRINEUS AGUIAR,F,24/04/1967,Válido,51
51234,32,Não eleito,IRACILDA DIAS VIANA,IRACILDA,F,26/09/1951,Válido,51
51112,3,Não eleito,EDMIR EDUARDO SANTIAGO,EDMIR,M,22/03/1966,Válido,51
51000,18,Não eleito,GEOVANE DE ALMEIDA LUCIO,VANINHO,M,31/07/1988,Válido,51
33123,109,Eleito,JURANDI MEDEIROS DE ATHAIDES,JURANDI,M,29/12/1964,Válido,33
33049,19,Suplente,MARLON COELHO DE SOUZA,MARLON COELHO,M,21/01/1977,Válido,33
33456,22,Suplente,CENI GONÇALVES DA SILVA,CENI,F,11/06/1968,Válido,33
33033,38,Suplente,CARLOS ROBERTO DE OLIVEIRA BARCELOS,BETUCA DO JACÁ,M,30/06/1968,Válido,33
33236,7,Suplente,CREUZA MARIA SILVA PEREIRA,CREUZA DO ADILSON,F,04/04/1968,Válido,33
33333,33,Suplente,ANA MARIA DA SILVA,ANA DA CACILDA,F,13/02/1952,Válido,33
33400,58,Suplente,JOSUÉ FERREIRA COSTA,JOSUÉ DOS CACHORROS,M,04/02/1990,Válido,33
33100,62,Suplente,JORGE CABRAL HELENO,JORGE DO GÁS,M,09/12/1968,Válido,33
33000,37,Suplente,ADALGISA FERREIRA ALVES,ADALGISA FERREIRA,F,18/02/1958,Válido,33
33852,92,Suplente,GUILHERME DO CARMO PIRES,GUILHERME DA PARABÓLICA,M,12/10/1985,Válido,33
45222,14,Não eleito,PRIMO BOLELLI FILHO,PRIMO POP SOM,M,09/11/1953,Válido,45
45123,174,Não eleito,SEBASTIÃO ROGELIO DE SOUZA SILVA,ROGÉRIO DO GOIABAL,M,25/09/1971,Válido,45
45244,3,Não eleito,ADRIANE DE SOUZA BATISTA,ADRIANE,F,31/10/1993,Válido,45
45151,4,Não eleito,SIMONE CLÁUDIA DO NASCIMENTO SANTOS,SIMONE NINHA,F,31/07/1974,Válido,45
45678,42,Não eleito,LUIS CARLOS FERREIRA CARVALHO,CARLINHO PEDREIRO,M,07/04/1972,Válido,45
45555,15,Não eleito,LUIS ALENCAR DA SILVA CAMPOS,ALENCAR,M,18/04/1959,Válido,45
45000,18,Não eleito,ALCIDINEI MONTEIRO,KUKA,M,12/10/1975,Válido,45
