numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
70111,70,Suplente,LUIZ CARLOS SALVALAIO,LUIZ CARLOS SALVALAIO,M,28/12/1958,Válido,70
70888,50,Suplente,MARIA JOSÉ FADINI LOCATELLI,ANINHA FADINI,F,04/05/1965,Válido,70
70007,186,Eleito,MARCIO VAGO,MARCIO VAGO,M,16/06/1969,Válido,70
70010,14,Suplente,GENILDO LYRIO FRANÇA,JABÁ,M,10/03/1974,Válido,70
70666,35,Suplente,MARIA APARECIDA SURLO MILLI,MARIA SURLO MILLI,F,13/05/1969,Válido,70
70777,219,Eleito,JORCELINO ELIAS,DIÁCONO NINO,M,09/09/1972,Válido,70
70033,30,Suplente,CARLOS ROBERTO FERNANDES,CORDEIRO,M,11/02/1975,Válido,70
70333,25,Suplente,ANTONIO VALENTIM VAGO,VALENTIM VAGO,M,01/09/1959,Válido,70
70222,60,Suplente,DALVAN FORZA,DALVAN FORZA,M,06/10/1988,Válido,70
70789,62,Suplente,IVANIA ESTRELA MELOTTI,VANINHA ESTRELA,F,31/05/1976,Válido,70
70555,35,Suplente,DIVANIA MARIA CHICOSKY,VANIA FABRIS,F,24/09/1978,Válido,70
70000,32,Suplente,ROMILDO RODRIGUES,ROMILDO BOA OBRA,M,19/12/1973,Válido,70
70444,82,Suplente,ELIOR FERNANDO BONATTI,LOLO BONATTO,M,31/10/1965,Válido,70
70123,46,Suplente,ELIANE MARIA NUNES CALDEIRA,ELIANE NUNES,F,23/01/1963,Válido,70
25222,25,Suplente,DENNER ANGELI,DENNER ANGELI,M,27/01/1994,Válido,25
25190,16,Suplente,ISRAEL ALVES PEREIRA,SARGENTO ISRAEL,M,01/06/1968,Válido,25
25125,32,Suplente,VITALINO SCHINEIDER,VITALINO MULAU,M,15/12/1969,Válido,25
25678,22,Suplente,CLEBERSON WIEDENHOEFT DUBBERSTEIN,BIM,M,01/07/1976,Válido,25
25777,14,Suplente,MARIA APARECIDA DAS MATAS,TIDA,F,05/09/1969,Válido,25
25456,26,Suplente,EDVALTER DALLAPICOLA,DALLA,M,17/05/1959,Válido,25
25789,50,Suplente,JORGE LUIS CALCI,JORGE CALCI,M,28/05/1974,Válido,25
25321,49,Suplente,SEVERINO ZINGER,SEVERINO ZINGER,M,09/11/1960,Válido,25
25000,206,Suplente,VALMIR ANTONIO BOSCHETTI,TITÉ,M,12/03/1960,Válido,25
25234,24,Suplente,REGIA PATRICIA LUCHI ZANETTI,PATRICIA LUCHI,F,05/02/1976,Válido,25
25999,15,Suplente,SABRINA PEREIRA DE OLIVEIRA,SABRINA PEREIRA,F,17/06/1986,Válido,25
25555,76,Suplente,JOCINETI MARIA SCHNEIDER,NETI SCHNEIDER,F,23/10/1971,Válido,25
25025,47,Suplente,NAYANE ALLINE DA SILVA MALAVASI,NAYANE MALAVASI,F,25/03/1988,Válido,25
25123,303,Eleito,JUNIOR PRIORI PERINNI,JUNINHO BAIUCA,M,05/10/1979,Válido,25
12222,48,Suplente,NIVALDO RODRIGUES SARDINHA,NIVALDO SARDINHA,M,06/11/1975,Válido,12
12121,67,Suplente,VALBERT JUNIOR VAGO,VALBERT MAGRÃO,M,14/06/1974,Válido,12
12234,1,Suplente,DÉBORA GARCIA DOS SANTOS SILVA,DÉBORA,F,01/04/1988,Válido,12
12567,14,Suplente,ZENIRA DIAS ALVES,ZENIRA,F,29/07/1975,Válido,12
12345,124,Suplente,JOCIMAR ANGELO LANI,LEO LANI,M,07/09/1974,Válido,12
12123,275,Eleito,ITAMAR JOÃO LOSS PUGNAL,ITAMAR,M,09/11/1977,Válido,12
12555,17,Suplente,GLORIA PALMEZANI DA SILVA,GLÓRIA,F,23/07/1972,Válido,12
12777,18,Suplente,PATRICK VALLE FERREIRA,PATRICK VALLE,M,19/08/1987,Válido,12
12000,8,Suplente,JOSELIU NATAL ANGELI,LILIU,M,25/12/1967,Válido,12
90555,13,Não eleito,ANTONIO CARLOS NASCIMENTO LAMBORGHINI,CARLIN LAMBORGHINI,M,22/03/1969,Válido,90
90045,10,Não eleito,ELIVELTON APARECIDO DE SOUSA,VEVÉ,M,21/10/1992,Válido,90
90789,9,Não eleito,EDSON VANDER RACANELLI,EDSON RACANELLI,M,05/07/1970,Válido,90
90111,32,Não eleito,IRACI MARIA VAGO GALON,IRACI GALON,F,27/01/1953,Válido,90
90133,14,Não eleito,PAULO JAIME VERGINIO PEREIRA,PAULO DA CAÇAMBA,M,18/01/1956,Válido,90
90123,11,Não eleito,ELIENE FRANCISCA DA SILVA,ELIENE SILVA,F,09/05/1984,Válido,90
90145,7,Não eleito,OSMAR LUIS TONINI,PUPIN TONINI,M,02/03/1959,Válido,90
90456,15,Não eleito,MARIA JOSÉ RONCONI,ZEZÉ RONCONI,F,23/10/1963,Válido,90
90135,24,Não eleito,EDIVALDO GOMES PASSOS,EDIVALDO ASSANHADO,M,07/03/1961,Válido,90
90190,7,Não eleito,MIRIAM PELONIA DA SILVA RIBEIRO,MIRIAM PELONIA,F,01/06/1983,Válido,90
90333,16,Não eleito,PEDRO CARLOS RODRIGUES,PEDRIN DA RUA ESCURA,M,03/10/1959,Válido,90
90000,31,Não eleito,VANDERLEIA SCHIROLI CRUZ,VANDERLEIA SCHIROLI,F,10/01/1982,Válido,90
14333,95,Não eleito,CARLOS CLERIS TONINI,CARLIM TONINI,M,12/01/1961,Válido,14
14123,14,Não eleito,SIVALDO JOSE DA SILVA,TETEIA,M,15/10/1953,Válido,14
14000,16,Não eleito,OZANA MARIA ESTEVÃO DE OLIVEIRA,NANIM,F,20/07/1966,Válido,14
14567,10,Não eleito,JAQUELINE APARECIDA VULPIN BARROS,JAQUELINE,F,10/12/1997,Válido,14
14222,12,Não eleito,LILEY PEREIRA GAMA FIORENTINE,LILEY,F,15/03/1979,Válido,14
14444,20,Não eleito,DARCI DE SOUSA SALES,DARCI,M,23/02/1951,Válido,14
45678,224,Eleito,OLGA MARIA DALA BARBA SIMONELLI,OLGA SIMONELLI,F,20/10/1956,Válido,45
45222,168,Suplente,WILLIAM ESPINDULA ROSSI COSER,WILLIAM ROSSI,M,15/05/1982,Válido,45
45234,56,Suplente,ADENILSO MAIER,ADENILSO MAIER,M,07/06/1967,Válido,45
45333,97,Suplente,ALCIMAR BRAZ MARQUES,ALCIMAR MARQUES,M,01/04/1974,Válido,45
45123,131,Suplente,JULIO JOSÉ PRIORI,JULIO PRIORI,M,20/04/1978,Válido,45
