numero,votos_nominais,situacao,nome,nome_urna,sexo,data_nasc,destino_voto,numero_partido
10579,0,Suplente,DENILZA GONÇALVES SIQUEIRA,DENILZA SIQUEIRA,F,18/10/1963,Válido,10
10226,51,Suplente,KASSIA CRISTINA BIER,KASSIA BIER,F,25/02/1990,Válido,10
10445,112,Suplente,CARLOS CLEMENTE LOPES,PROFESSOR CARLOS,M,07/07/1964,Válido,10
10111,24,Suplente,EDSON COUTINHO,LOBÃO,M,09/06/1973,Válido,10
10220,17,Suplente,VERA MARINS DA LIBRA ALIPIO,VERA MARINS,F,20/01/1967,Válido,10
10300,62,Suplente,ALAN ELDER DE MENDONÇA,ALAN DO LAVA JATO,M,22/04/1986,Válido,10
10910,315,Suplente,LUCIANO GARCIA DE PAULA,LUCIANO GARCIA,M,20/04/1978,Válido,10
10333,49,Suplente,MARIA DA CONCEIÇÃO ESTEVAM,CONCEIÇÃO,F,16/01/1971,Válido,10
10010,40,Suplente,BEATRIZ RIBEIRO MACHADO,BIA,F,07/01/1995,Válido,10
10789,1063,Eleito,WANTUIL SCHULTZ,WANTUIL SCHULTZ,M,12/07/1968,Válido,10
10000,62,Suplente,RICHARD ESQUINCALHA,RICHARD VIANA,M,13/12/1979,Válido,10
10777,56,Suplente,JOSÉ CARLOS COITINHO,COUTINHO ELÉTRICA,M,14/11/1959,Válido,10
10500,112,Suplente,IRINEU DIAS CABRAL,IRINEU CABRAL,M,01/05/1976,Válido,10
10222,2,Suplente,AÍRA SUED SANTOS DE AGUIAR,AÍRA SUED,F,25/06/1996,Válido,10
10123,42,Suplente,FABIANO FAGNER SANTOS AMORIM,FABIANO AMORIM,M,10/01/1973,Válido,10
19999,15,Suplente,JULIO CEZAR KLACZOK ALVES DOS SANTOS,JULINHO DE VIANA,M,01/05/1997,Válido,19
19888,7,Suplente,THALIA KLEIN DE PAULO,THALIA KLEIN,F,22/05/1997,Válido,19
19456,723,Suplente,IRANI INACIA DA SILVA FIRME,NINA,F,24/02/1961,Válido,19
19192,74,Suplente,JANE SIQUEIRA DE SOUZA,JANE SIQUEIRA,F,18/11/1974,Válido,19
19555,1081,Eleito,ALDEMIRO ZEKEL,LIRINHO,M,13/02/1962,Válido,19
19700,36,Suplente,AMARILDO SOARES,AMARILDO SOARES,M,05/04/1970,Válido,19
19125,39,Suplente,TATIANE DA PAIXÃO DE JESUS,TATI PAIXÃO,F,25/07/1983,Válido,19
19100,1326,Eleito,JOILSON BROEDEL,JOILSON BROEDEL,M,15/05/1976,Válido,19
19123,1184,Eleito,SOLIVAN ABEL THOMAS,SOLIVAN FEIRANTE,M,12/01/1981,Válido,19
19111,900,Eleito,EDILSON JOSE ENDLICHI,EDILSON JOSE,M,29/11/1966,Válido,19
19135,19,Suplente,ZELY SILVA DE ABREU,ZELI SILVA,F,19/10/1947,Válido,19
19200,266,Suplente,ROBSON VIEIRA PAGANI,ROBSON PAGANI,M,06/11/1968,Válido,19
19777,470,Suplente,DANIEL ENDLICH,DANIEL ENDLICH,M,09/09/1957,Válido,19
19110,25,Suplente,AROLDO LYRA,AROLDO LYRA,M,19/09/1959,Válido,19
19333,83,Suplente,DENIZE MARIA CEZARINO,DENISE CEZARINO,F,24/09/1967,Válido,19
19000,66,Suplente,ISAQUE TORQUATO ROZA,ISAQUE TORQUATO,M,22/04/1989,Válido,19
19500,569,Suplente,DALMO BELISARIO,DALMO DO SUPERMERCADO,M,25/07/1964,Válido,19
